Year,NDVI_district,NDVI_district_crop_mask,Obs_yield,Total_production,Total_area,Irrigated_area,Irrigated_production,Unirrigated_area,Unirrigated_production,Simulated_yield,Simulated_yield_sd,Simulated_yield_allyears,Simulated_yield_allyears_sd,Crop,Province,District_id,District_name_ts
1982,NaN,NaN,0.819313467,217.2,265.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wheat,Punjab,601,Attock
1983,0.194599999,0.181941538,0.993148078,260.9,262.7,NaN,NaN,NaN,NaN,1.31,0.28,1.3,0.29,wheat,Punjab,601,Attock
1984,0.181400001,0.148863077,0.868621937,216.2,248.9,NaN,NaN,NaN,NaN,1,0.27,0.99,0.28,wheat,Punjab,601,Attock
1985,0.138099997,0.154396924,0.922981366,148.6,161,NaN,NaN,NaN,NaN,1.05,0.27,1.04,0.28,wheat,Punjab,601,Attock
1986,0.2108,0.187786154,1.323085847,228.1,172.4,NaN,NaN,NaN,NaN,1.35,0.29,1.35,0.28,wheat,Punjab,601,Attock
1987,0.179900002,0.173596923,1.069088743,179.5,167.9,NaN,NaN,NaN,NaN,1.22,0.28,1.22,0.29,wheat,Punjab,601,Attock
1988,0.139500001,0.133470769,0.852142857,119.3,140,NaN,NaN,NaN,NaN,0.85,0.26,0.85,0.26,wheat,Punjab,601,Attock
1989,0.161999999,0.159678462,1.101956135,185.9,168.7,NaN,NaN,NaN,NaN,1.09,0.28,1.09,0.28,wheat,Punjab,601,Attock
1990,0.192900001,0.164646154,1.224276032,198.7,162.3,NaN,NaN,NaN,NaN,1.13,0.28,1.14,0.29,wheat,Punjab,601,Attock
1991,0.214299999,0.195472308,1.363057325,214,157,NaN,NaN,NaN,NaN,1.42,0.3,1.43,0.3,wheat,Punjab,601,Attock
1992,0.177200001,0.161232308,1.391950464,224.8,161.5,NaN,NaN,NaN,NaN,1.09,0.27,1.11,0.28,wheat,Punjab,601,Attock
1993,0.200499998,0.186295384,1.293550332,214.6,165.9,NaN,NaN,NaN,NaN,1.34,0.29,1.34,0.3,wheat,Punjab,601,Attock
1994,0.133599999,0.143921538,1.089419795,159.6,146.5,NaN,NaN,NaN,NaN,0.93,0.28,0.94,0.27,wheat,Punjab,601,Attock
1995,0.207777778,NaN,1.214100906,187.7,154.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wheat,Punjab,601,Attock
1996,0.207499999,0.184972308,1.453764861,220.1,151.4,NaN,NaN,NaN,NaN,1.32,0.28,1.33,0.3,wheat,Punjab,601,Attock
1997,0.1825,0.171475385,1.025032092,159.7,155.8,NaN,NaN,NaN,NaN,1.21,0.28,1.2,0.28,wheat,Punjab,601,Attock
1998,0.2175,0.222201539,1.713828425,267.7,156.2,NaN,NaN,NaN,NaN,1.67,0.33,1.68,0.33,wheat,Punjab,601,Attock
1999,0.191799998,0.196130769,1.527498448,246.08,161.1,NaN,NaN,NaN,NaN,1.42,0.31,1.43,0.31,wheat,Punjab,601,Attock
2000,0.151200002,0.183244615,1.467831754,247.77,168.8,NaN,NaN,NaN,NaN,1.3,0.29,1.31,0.29,wheat,Punjab,601,Attock
2001,0.116099998,0.125015385,0.685734463,97.1,141.6,NaN,NaN,NaN,NaN,0.78,0.27,0.77,0.24,wheat,Punjab,601,Attock
2002,0.130199999,0.138863077,0.779889153,98.5,126.3,NaN,NaN,NaN,NaN,0.91,0.28,0.9,0.26,wheat,Punjab,601,Attock
2003,0.164699998,0.186135384,1.524628616,195,127.9,NaN,NaN,NaN,NaN,1.33,0.29,1.34,0.3,wheat,Punjab,601,Attock
2004,0.183299999,0.167655384,1.333094556,186.1,139.6,NaN,NaN,NaN,NaN,1.16,0.27,1.17,0.28,wheat,Punjab,601,Attock
2005,0.200899999,0.230046154,1.865580448,274.8,147.3,NaN,NaN,NaN,NaN,1.73,0.33,1.75,0.33,wheat,Punjab,601,Attock
2006,0.168,0.170909231,1.666666667,249.5,149.7,NaN,NaN,NaN,NaN,1.18,0.26,1.2,0.28,wheat,Punjab,601,Attock
2007,0.214900002,0.236167693,2.029077118,321,158.2,NaN,NaN,NaN,NaN,1.77,0.34,1.81,0.34,wheat,Punjab,601,Attock
2008,0.187500004,0.200341538,1.275796178,200.3,157,NaN,NaN,NaN,NaN,1.47,0.3,1.47,0.29,wheat,Punjab,601,Attock
2009,0.2103,0.230192308,1.703910615,274.5,161.1,NaN,NaN,NaN,NaN,1.75,0.34,1.75,0.35,wheat,Punjab,601,Attock
2010,0.140100001,0.145478462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.96,0.27,wheat,Punjab,601,Attock
2011,0.1975,0.205572308,1.62195122,252.7,155.8,42.9,16.6,209.8,139.2,1.51,0.32,1.52,0.31,wheat,Punjab,601,Attock
2012,0.142400001,0.175250769,1.075289575,167.1,155.4,28.8,14.2,138.3,141.2,1.24,0.29,1.24,0.29,wheat,Punjab,601,Attock
2013,0.197999999,0.212246154,1.055840822,164.5,155.8,36.2,14.2,128.3,141.6,1.61,0.28,1.58,0.32,wheat,Punjab,601,Attock
2014,0.201800001,0.213950769,1.372093023,218.3,159.1,31.3,14.2,187.1,144.9,1.61,0.32,1.6,0.32,wheat,Punjab,601,Attock
2015,0.2236,0.223141538,1.733425494,300.94,173.61,35.2,16.59,265.74,157.02,1.67,0.34,1.68,0.34,wheat,Punjab,601,Attock
2016,0.223899996,0.225303076,1.785322469,335.23,187.77,43.37,14.57,291.86,173.2,1.69,0.35,1.7,0.34,wheat,Punjab,601,Attock
2017,0.2064,0.186032308,1.354674595,205.03,151.35,53.23,23.07,151.8,128.28,1.33,0.3,1.34,0.31,wheat,Punjab,601,Attock
2018,0.206999998,0.210132307,1.474264949,223.13,151.35,46.51,16.59,176.62,134.76,1.56,0.31,1.56,0.32,wheat,Punjab,601,Attock
2019,0.2152,0.233893846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.78,0.33,wheat,Punjab,601,Attock
2020,0.221899998,0.23642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.81,0.34,wheat,Punjab,601,Attock
2021,0.210699999,0.221904615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.67,0.34,wheat,Punjab,601,Attock
1982,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,wheat,Balochistan,701,Awaran
1983,0.0185,0.011473568,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.22,0.2,wheat,Balochistan,701,Awaran
1984,0.029500001,0.024310573,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.37,0.23,wheat,Balochistan,701,Awaran
1985,0.0215,0.017645375,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.29,0.21,wheat,Balochistan,701,Awaran
1986,0.036,0.008030837,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.18,0.2,wheat,Balochistan,701,Awaran
1987,0.007,0.010837004,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.21,0.2,wheat,Balochistan,701,Awaran
1988,0.018999999,0.020638767,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.33,0.23,wheat,Balochistan,701,Awaran
1989,0.0245,0.021213657,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.34,0.23,wheat,Balochistan,701,Awaran
1990,0.0175,0.018832599,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.31,0.21,wheat,Balochistan,701,Awaran
1991,0.030499999,0.024515419,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.37,0.24,wheat,Balochistan,701,Awaran
1992,0.022,0.01946696,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.31,0.22,wheat,Balochistan,701,Awaran
1993,0.033500001,0.033237886,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.48,0.27,wheat,Balochistan,701,Awaran
1994,0.035499999,0.031513216,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.46,0.26,wheat,Balochistan,701,Awaran
1995,0.0485,0.040856828,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.57,0.29,wheat,Balochistan,701,Awaran
1996,0.026,0.015949339,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.27,0.22,wheat,Balochistan,701,Awaran
1997,0.029000001,0.019037445,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.31,0.22,wheat,Balochistan,701,Awaran
1998,0.0525,0.039325991,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.55,0.29,wheat,Balochistan,701,Awaran
1999,0.029,0.029319383,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.43,0.25,wheat,Balochistan,701,Awaran
2000,0.013,0.009828194,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.2,0.2,wheat,Balochistan,701,Awaran
2001,0.028,0.029874449,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.44,0.26,wheat,Balochistan,701,Awaran
2002,0.025,0.022136564,1.23015873,15.5,12.6,NaN,NaN,NaN,NaN,1.39,0.25,1.35,0.23,wheat,Balochistan,701,Awaran
2003,0.0245,0.02260793,1.447761194,9.7,6.7,NaN,NaN,NaN,NaN,1.34,0.27,1.35,0.22,wheat,Balochistan,701,Awaran
2004,0.045,0.030643172,1.490196078,7.6,5.1,NaN,NaN,NaN,NaN,1.46,0.28,1.45,0.26,wheat,Balochistan,701,Awaran
2005,0.023,0.025801762,1.509803922,7.7,5.1,NaN,NaN,NaN,NaN,1.38,0.27,1.39,0.25,wheat,Balochistan,701,Awaran
2006,0.018499999,0.024953745,1.025641026,4,3.9,NaN,NaN,NaN,NaN,1.46,0.17,1.38,0.23,wheat,Balochistan,701,Awaran
2007,0.043500001,0.03403304,1.533333333,6.9,4.5,NaN,NaN,NaN,NaN,1.5,0.3,1.49,0.26,wheat,Balochistan,701,Awaran
2008,0.063000001,0.052678414,1.568627451,24,15.3,NaN,NaN,NaN,NaN,1.92,0.46,1.71,0.35,wheat,Balochistan,701,Awaran
2009,0.059500001,0.039094714,1.511494253,26.3,17.4,NaN,NaN,NaN,NaN,1.58,0.32,1.55,0.29,wheat,Balochistan,701,Awaran
2010,0.031,0.03934141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.55,0.28,wheat,Balochistan,701,Awaran
2011,0.0395,0.039552863,1.641666667,19.7,12,17.4,9.9,2.3,2,1.56,0.3,1.55,0.29,wheat,Balochistan,701,Awaran
2012,0.064999999,0.0395,1.612403101,20.8,12.9,17.7,10.1,3.1,2.8,1.57,0.32,1.55,0.29,wheat,Balochistan,701,Awaran
2013,0.033,0.032427313,1.674242424,22.1,13.2,19.2,10.7,2.8,2.5,1.47,0.25,1.47,0.27,wheat,Balochistan,701,Awaran
