Year,NDVI_district,NDVI_district_crop_mask,Obs_yield,Total_production,Total_area,Irrigated_area,Irrigated_production,Unirrigated_area,Unirrigated_production,Simulated_yield,Simulated_yield_sd,Simulated_yield_allyears,Simulated_yield_allyears_sd,Crop,Province,District_id,District_name_ts
1982,NaN,NaN,0.819313467,217.2,265.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Wheat,Punjab,601,Attock
1983,NaN,NaN,0.993148078,260.9,262.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Wheat,Punjab,601,Attock
1984,0.264316648,0.243882596,0.868621937,216.2,248.9,NaN,NaN,NaN,NaN,0.95,0.35,0.94,0.36,Wheat,Punjab,601,Attock
1985,0.245266676,0.256104469,0.922981366,148.6,161,NaN,NaN,NaN,NaN,1.19,0.37,1.18,0.37,Wheat,Punjab,601,Attock
1986,0.291616648,0.306648523,1.323085847,228.1,172.4,NaN,NaN,NaN,NaN,1.35,0.39,1.35,0.38,Wheat,Punjab,601,Attock
1987,0.303216666,0.292093754,1.069088743,179.5,167.9,NaN,NaN,NaN,NaN,1.28,0.36,1.28,0.36,Wheat,Punjab,601,Attock
1988,0.249549985,0.240292057,0.852142857,119.3,140,NaN,NaN,NaN,NaN,0.97,0.36,0.96,0.36,Wheat,Punjab,601,Attock
1989,0.23650001,0.229897261,1.101956135,185.9,168.7,NaN,NaN,NaN,NaN,0.82,0.36,0.85,0.35,Wheat,Punjab,601,Attock
1990,0.278283328,0.28465271,1.224276032,198.7,162.3,NaN,NaN,NaN,NaN,1.19,0.36,1.19,0.37,Wheat,Punjab,601,Attock
1991,0.304866642,0.315175861,1.363057325,214,157,NaN,NaN,NaN,NaN,1.38,0.39,1.38,0.39,Wheat,Punjab,601,Attock
1992,0.286366671,0.268950254,1.391950464,224.8,161.5,NaN,NaN,NaN,NaN,1.12,0.37,1.14,0.39,Wheat,Punjab,601,Attock
1993,0.284216672,0.268338531,1.293550332,214.6,165.9,NaN,NaN,NaN,NaN,1.06,0.37,1.07,0.37,Wheat,Punjab,601,Attock
1994,0.25728333,0.234850496,1.089419795,159.6,146.5,NaN,NaN,NaN,NaN,0.84,0.36,0.86,0.36,Wheat,Punjab,601,Attock
1995,0.295300007,0.279398501,1.214100906,187.7,154.6,NaN,NaN,NaN,NaN,1.25,0.38,1.26,0.38,Wheat,Punjab,601,Attock
1996,0.313149989,0.313613445,1.453764861,220.1,151.4,NaN,NaN,NaN,NaN,1.39,0.38,1.39,0.38,Wheat,Punjab,601,Attock
1997,0.285883337,0.275893271,1.025032092,159.7,155.8,NaN,NaN,NaN,NaN,1.22,0.37,1.21,0.38,Wheat,Punjab,601,Attock
1998,0.355866671,0.337386787,1.713828425,267.7,156.2,NaN,NaN,NaN,NaN,1.52,0.39,1.53,0.4,Wheat,Punjab,601,Attock
1999,0.350466639,0.330184281,1.527498448,246.08,161.1,NaN,NaN,NaN,NaN,1.56,0.4,1.57,0.4,Wheat,Punjab,601,Attock
2000,0.285950005,0.316193759,1.467831754,247.77,168.8,NaN,NaN,NaN,NaN,1.52,0.38,1.52,0.37,Wheat,Punjab,601,Attock
2001,0.207816675,0.210142776,0.685734463,97.1,141.6,NaN,NaN,NaN,NaN,0.94,0.35,0.92,0.37,Wheat,Punjab,601,Attock
2002,0.22223331,0.239877358,0.779889153,98.5,126.3,NaN,NaN,NaN,NaN,1.11,0.38,1.09,0.36,Wheat,Punjab,601,Attock
2003,0.305200011,0.321676582,1.524628616,195,127.9,NaN,NaN,NaN,NaN,1.44,0.4,1.44,0.4,Wheat,Punjab,601,Attock
2004,0.347416639,0.327150464,1.333094556,186.1,139.6,NaN,NaN,NaN,NaN,1.82,0.42,1.82,0.41,Wheat,Punjab,601,Attock
2005,0.398016661,0.39006266,1.865580448,274.8,147.3,NaN,NaN,NaN,NaN,1.87,0.44,1.88,0.42,Wheat,Punjab,601,Attock
2006,0.308499992,0.300524086,1.666666667,249.5,149.7,NaN,NaN,NaN,NaN,1.43,0.39,1.44,0.39,Wheat,Punjab,601,Attock
2007,0.37561667,0.387581319,2.029077118,321,158.2,NaN,NaN,NaN,NaN,1.8,0.41,1.83,0.4,Wheat,Punjab,601,Attock
2008,0.334749967,0.319739282,1.275796178,200.3,157,NaN,NaN,NaN,NaN,1.56,0.38,1.56,0.4,Wheat,Punjab,601,Attock
