District,Total_population,Total_hh,Rural_population,Rural_hh,Urban_population,Urban_hh,Province,District_id,MPI,Incidence,Intensity
Attock ,1883556,306649,1393550,228435,490006,78214,Punjab,601,0.041,0.099,0.411
Awaran,121821,NULL,87584,NULL,34237,NULL,Balochistan,701,0.415,0.770,0.540
Badin,1804516,359376,1414138,282574,390378,76802,Sindh,801,0.433,0.748,0.579
Bahawalnagar ,2897446,458068,2391743,377144,505703,80924,Punjab,602,0.244,0.501,0.487
Bahawalpur ,3893672,574143,2750310,400653,1143362,173490,Punjab,603,0.273,0.530,0.515
Barkhan,171025,NULL,158824,NULL,12201,NULL,Balochistan,702,0.627,0.940,0.670
Bhakkar ,2756110,442399,1928714,308668,827396,133731,Punjab,604,0.255,0.517,0.493
Bolan,309932,NULL,258952,NULL,50980,NULL,Balochistan,710,0.414,0.730,0.570
Chagai,226517,NULL,210252,NULL,16265,NULL,Balochistan,703,0.546,0.890,0.610
Chakwal ,1495982,266109,1212042,217585,283940,48524,Punjab,605,0.056,0.129,0.436
Chiniot,1369740,218607,947202,150625,422538,67982,Punjab,606,0.199,0.421,0.474
D.G.Khan ,3703588,600224,2612543,420867,1091045,179357,Punjab,607,0.351,0.637,0.551
Dadu ,1550266,286810,1167097,217340,383169,69470,Sindh,802,0.247,0.514,0.480
Dera Bugti,313110,NULL,212745,NULL,100365,NULL,Balochistan,704,0.499,0.880,0.560
Faisalabad ,1156957,175180,754106,114058,402851,61122,Punjab,608,0.086,0.194,0.445
Gawadar,262253,NULL,101474,NULL,160779,NULL,Balochistan,705,0.293,0.610,0.480
Ghotki ,1647239,296830,1243701,223866,403538,72964,Sindh,803,0.356,0.673,0.529
Gujranwala ,11126285,1757691,0,0,11126285,1757691,Punjab,609,0.064,0.140,0.456
Gujrat ,1222650,204792,868448,145783,354202,59009,Punjab,610,0.078,0.184,0.421
Hafizabad ,1824230,281929,1502725,232310,321505,49619,Punjab,611,0.152,0.323,0.470
Harnai,97052,NULL,72490,NULL,24562,NULL,Balochistan,706,0.633,0.940,0.670
Hyderabad ,2201079,435209,366708,71523,1834371,363686,Sindh,804,0.129,0.257,0.502
Islamabad ,3668106,584864,2496848,392678,1171258,192186,Punjab,NULL,NULL,NULL,NULL
Jacobabad ,1006297,177867,709170,125341,297127,52526,Sindh,805,0.391,0.713,0.548
Jaffarabad,513972,NULL,356261,NULL,157711,NULL,Balochistan,707,0.404,0.750,0.540
Jamshoro ,993142,180922,558955,103199,434187,77723,Sindh,806,0.297,0.556,0.533
Jhal Magsi,148900,NULL,141085,NULL,7815,NULL,Balochistan,708,0.528,0.900,0.590
Jhang ,2744085,427513,2145895,332257,598190,95256,Punjab,612,0.196,0.416,0.472
Jhelum ,1650518,268244,1390404,226306,260114,41938,Punjab,613,0.035,0.085,0.407
Kalat,412058,NULL,339665,NULL,72393,NULL,Balochistan,709,0.275,0.570,0.480
Karachi ,7674311,1376292,0,0,7674311,1376292,Sindh,807,0.019,0.045,0.424
Kashmore ,1089169,185143,835556,140872,253613,44271,Sindh,808,0.431,0.749,0.576
Kasur ,4745109,760858,2686819,429984,2058290,330874,Punjab,614,0.095,0.219,0.436
Kech/Turbat,907182,NULL,605162,NULL,302020,NULL,Balochistan,711,NULL,NULL,NULL
Khairpur ,2405523,413044,1628484,280079,777039,132965,Sindh,809,0.261,0.516,0.507
Khanewal ,4814006,701520,3781370,537401,1032636,164119,Punjab,615,0.189,0.399,0.474
Kharan,162766,NULL,111378,NULL,51388,NULL,Balochistan,712,0.454,0.780,0.580
Khushab ,7874790,1225413,4113582,631434,3761208,593979,Punjab,616,0.200,0.404,0.497
Khuzdar,798896,NULL,523134,NULL,275762,NULL,Balochistan,713,0.285,0.580,0.500
Killa Abdullah,758354,NULL,609024,NULL,149330,NULL,Balochistan,714,0.641,0.970,0.660
Killa Saifullah,342932,NULL,279639,NULL,63293,NULL,Balochistan,715,0.386,0.790,0.490
Kohlu,213933,NULL,196490,NULL,17443,NULL,Balochistan,716,0.503,0.870,0.580
Lahore ,1546094,238006,1217699,186770,328395,51236,Punjab,617,0.017,0.043,0.388
Larkana ,1524391,261331,822754,140795,701637,120536,Sindh,810,0.194,0.420,0.463
Lasbela,576271,NULL,294373,NULL,281898,NULL,Balochistan,717,0.395,0.680,0.580
Layyah ,2517560,392509,2000440,309865,517120,82644,Punjab,618,0.214,0.456,0.469
