District_id,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,pctile
701,32.94,50.92,41.77,81.78999999999999,51.34,75.67,68.10000000000001,87.03999999999999,54.74,45.01,43.87,63.66,53.51,64.95,47.71,69.68999999999998,42.02,109.35,67.44,31.99,43.5
702,43.81,64.47999999999999,44.4,130.32999999999998,72.2,145.07999999999998,49.36000000000001,93.9,54.71,75.46000000000001,34.660000000000004,98.74,67.6,71.76,230.91,77.91,63.04,138.70999999999998,167.86,68.15,53.64
703,31.34,53.86000000000001,40.6,109.99,64.21000000000001,79.66,94.31,88.77000000000001,67.27,79.48,41.97,69.73,64.77,54.85000000000001,66.37,87.16000000000003,45.37,124.99,103.76,36.05,44.69
704,27.94,40.95,30.56,66.12,37.71,91.81,32.309999999999995,69.64,34.1,50.96999999999999,26.74,74.88,37.010000000000005,56.86,82.59,55.49,38.47,135.8,94.03,50.77,33.742
705,37.16000000000001,57.78,54.22,98.13,64.08,84.58,95.33,111.1,79.27999999999999,41.24,58.77,100.15,77.77,62.8,57.26,76.14,52.51,104.91,95.08,40.6,53.878
706,76.28,134.51,93.39,196.51,111.14,225.74,121.95,173.82000000000002,103.89,150.95000000000002,76.77,208.66000000000005,118.2,120.42,121.01,187.4,121.51000000000002,250.03000000000003,198.12,92.39,101.79
707,24.130000000000003,37.15,24.45,48.59,27.940000000000005,67.04,27.620000000000005,62.3,32.42,44.06,21.660000000000004,70.4,27.86,50.93,43.02,41.0,29.04,97.47,58.89,30.0,27.812
708,25.3,41.93,28.02,58.95,33.41,69.77,36.440000000000005,79.2,38.13,49.77,24.1,78.34,32.16,50.18,43.73,48.27,33.63999999999999,103.12,64.06,30.08,31.743999999999996
709,40.85,83.22,55.22,134.51,61.39,131.60000000000002,88.29,133.32,70.75999999999999,101.12,51.940000000000005,136.27,65.85,87.61,70.43,139.47,57.66,169.92,106.75,51.68999999999999,57.172
710,38.7,66.83,45.89,108.36,55.13,122.26,65.28999999999999,108.78,56.52,85.28,40.14,122.93,62.56,78.94,67.37,101.13,63.81,156.58999999999995,98.43,52.38,54.580000000000005
711,37.94,53.23,49.49,115.52,68.38,74.6,90.4,102.4,88.14,46.37,46.0,98.86,79.35,66.53999999999999,69.03,64.15,49.470000000000006,120.49,89.12,40.68,48.85000000000001
712,34.93,70.99,49.52000000000001,126.78,60.53,103.89,89.82,116.97,73.19,83.41,47.15,113.93999999999998,68.06,71.69,63.63,107.47,45.3,136.01000000000002,98.07,44.72,49.04600000000001
713,38.1,65.78,52.29999999999999,94.98,62.08,108.4,76.14999999999999,135.17,56.17,74.04,42.74,105.6,58.48,81.03,55.03,94.98,48.49000000000001,164.58,100.69,43.36,51.538
714,117.92,209.06,115.29,297.53000000000003,158.12,292.13,186.61,213.78,177.09,211.07,139.96,254.98,151.81,147.51,165.83,276.09000000000003,148.79,308.39,272.59000000000003,124.6,146.0
715,92.39,135.93,88.29,184.96,106.39,189.74,110.78,148.13,102.19,126.15,83.71000000000001,171.59,103.04,103.96,106.06,189.56,99.8,193.17,183.69,79.12,98.318
716,42.25000000000001,63.33,47.940000000000005,121.69,68.93,142.28,52.49,99.77,49.28,82.28,37.52,111.4,63.58,71.17,147.25,84.16999999999999,52.46,177.60000000000002,154.8,69.62,51.824000000000005
717,26.8,37.24000000000001,32.96,47.92,33.86,61.02,49.92999999999999,62.96000000000001,33.96,28.7,26.82,39.78,30.67,35.31,32.980000000000004,50.03,32.16,71.49999999999999,44.69,24.52,30.276000000000003
718,62.53,94.83,61.4,154.32,87.23000000000002,164.80999999999997,73.5,118.93,72.76,93.64,48.91,135.77,84.18,82.59,132.08,115.95,80.05000000000001,160.04999999999998,184.72,71.22,72.452
719,73.46,137.24000000000004,78.39,202.19000000000003,101.19,212.78,126.77,183.96,121.39,167.7,89.72,212.59,110.15,131.3,115.6,214.97,108.53,251.94,176.66,92.66,99.484
720,66.33,86.67,53.43,147.93,76.83999999999999,147.92000000000002,62.42,98.28,68.99000000000001,76.39,44.03,129.62,97.86,92.59,155.79,112.24,82.28,139.17000000000002,196.29,69.72999999999999,68.45800000000001
721,22.5,35.65,23.97,48.38,27.94,62.12000000000001,28.85,59.77,31.529999999999998,43.35,20.9,67.34,28.79,45.45,44.45,39.6,30.26,93.15,64.08,30.620000000000005,28.62
722,52.17,105.17000000000002,63.38,160.1,79.37,151.13,117.37,146.67,100.34,129.8,74.83,162.86,91.97,102.62,95.96,166.76999999999998,75.52,179.92,153.10000000000002,63.05,75.38199999999999
