event_ref,year,loss
R02_2016R1_Sim_00000066,1,16.07700658
R02_2016R1_Sim_00000137,2,1.2381413000000001
R02_2016R1_Sim_00000258,3,96.62480043
R02_2016R1_Sim_00001500,14,15.38697648
R02_2016R1_Sim_00001933,17,17.31776166
R02_2016R1_Sim_00002163,19,109.09573447
R02_2016R1_Sim_00004049,36,3.74276519
R02_2016R1_Sim_00004369,39,3.85650992
R02_2016R1_Sim_00005091,45,7.77198839
R02_2016R1_Sim_00005508,48,99.70698116999999
R02_2016R1_Sim_00006220,55,37.58721662
R02_2016R1_Sim_00006458,57,22.139838929999996
R02_2016R1_Sim_00007839,70,131.87057066
R02_2016R1_Sim_00008972,81,2.47889638
R02_2016R1_Sim_00009149,82,80.91423368
R02_2016R1_Sim_00011071,99,28.18425668
R02_2016R1_Sim_00011320,101,98.65722154
R02_2016R1_Sim_00012257,110,55.675794350000004
R02_2016R1_Sim_00012324,111,1.2381413000000001
R02_2016R1_Sim_00012325,111,1.2381413000000001
R02_2016R1_Sim_00012524,112,80.91423368
R02_2016R1_Sim_00013399,121,6.634133930000001
R02_2016R1_Sim_00013697,123,31.022348050000005
R02_2016R1_Sim_00013966,125,109.09573447
R02_2016R1_Sim_00014365,129,14.252667670000001
R02_2016R1_Sim_00014447,130,99.81046629
R02_2016R1_Sim_00014613,131,99.70698116999999
R02_2016R1_Sim_00015668,141,51.84093427
R02_2016R1_Sim_00015778,142,140.48881329000002
R02_2016R1_Sim_00015947,143,71.47097348
R02_2016R1_Sim_00018432,166,16.07700658
R02_2016R1_Sim_00018527,167,55.37435841
R02_2016R1_Sim_00018680,168,109.09573447
R02_2016R1_Sim_00019621,177,2.47889638
R02_2016R1_Sim_00021811,196,62.75675094
R02_2016R1_Sim_00021879,197,1.2381413000000001
R02_2016R1_Sim_00022071,198,110.36442017
R02_2016R1_Sim_00023221,208,107.68963013999999
R02_2016R1_Sim_00023788,213,31.022348050000005
R02_2016R1_Sim_00024040,215,98.65722154
R02_2016R1_Sim_00024368,219,7.77198839
R02_2016R1_Sim_00024536,220,29.824786669999998
R02_2016R1_Sim_00024775,222,99.70698116999999
R02_2016R1_Sim_00026766,240,2.47889638
R02_2016R1_Sim_00026827,241,2.47889638
R02_2016R1_Sim_00027024,242,99.70698116999999
R02_2016R1_Sim_00028564,257,13.03285026
R02_2016R1_Sim_00029229,262,99.70698116999999
R02_2016R1_Sim_00030985,278,2.47889638
R02_2016R1_Sim_00031282,281,2.47889638
R02_2016R1_Sim_00031363,282,101.00802767
R02_2016R1_Sim_00031519,283,96.62480043
R02_2016R1_Sim_00032021,288,13.03285026
