Aggregation,RP,Loss
Portfolio,2,171230.65166382
Portfolio,5,3152176.7366547287
Portfolio,10,5349640.7091930425
Portfolio,20,8306993.697759276
Portfolio,25,9101913.752850866
Portfolio,50,11781297.060170151
Portfolio,75,12882743.580815773
Portfolio,100,13513435.91002789
Portfolio,150,14208644.812621176
Portfolio,200,14685474.723240852
Portfolio,250,14873307.104090692
Portfolio,300,15021115.815145394
Portfolio,400,15634377.474430198
Portfolio,500,15930978.543505715
Portfolio,600,16067729.522577872
Portfolio,700,16224513.601798477
Portfolio,800,16338814.317523984
Portfolio,900,16349943.488784721
Portfolio,1000,16451879.383339306
Portfolio,1500,16868268.961279854
