date,mean,median,p95,total
19810101,0,0,0,0
19810102,2.616719052,3.55E-05,13.86639544,106679.5619
19810103,3.128428113,0,15.6155701,127541.1436
19810104,4.383003635,0.619525152,16.36524636,178688.2345
19810105,0.728298459,0,5.691760649,29691.5943
19810106,0.088087535,0,0,3591.19166
19810107,3.14E-04,0,0,12.80409622
19810108,0.001297772,0,0,52.90816325
19810109,0.007404311,0,0,301.8622243
19810110,0.010820486,0,0,441.1343617
19810111,0,0,0,0
19810112,0,0,0,0
19810113,0,0,0,0
19810114,0.350401554,0,1.840850157,14285.32583
19810115,1.156968191,9.53E-08,8.648740612,47167.79189
19810116,0.484436148,0,3.309767642,19749.70756
19810117,0.033354976,0,0,1359.830441
19810118,4.80E-04,0,0,19.58115036
19810119,0.019604318,0,0,799.2375198
19810120,0.223412771,0,0.968308658,9108.190863
19810121,0.390625156,0,2.809603763,15925.17946
19810122,1.211319866,0,7.191209768,49383.62507
19810123,7.483188931,4.750138696,26.24438122,305077.9624
19810124,6.557551443,2.384078173,26.38978059,267341.1631
19810125,2.37413349,0,12.80684696,96789.72619
19810126,0.70207541,0,5.159941466,28622.52141
19810127,5.352646997,2.866778,19.62129438,218219.0847
19810128,3.268644582,2.186696863,10.93783325,133257.5508
19810129,2.467951719,0,11.8717656,100614.5493
19810130,2.455190143,0,13.18038171,100094.2797
19810131,0.824846884,0,5.809227827,33627.72329
19810201,0,0,0,0
19810202,2.712135288,9.83E-05,13.38283394,110569.5333
19810203,11.84688546,11.63293508,27.86188058,482979.0763
19810204,5.002556323,0.621856696,20.13183937,203946.433
19810205,2.016636113,5.65E-05,14.12215022,82215.11472
19810206,0.19400237,0,1.718425229,7909.174574
19810207,4.08E-04,0,0,16.63846326
19810208,0.040160464,0,0,1637.279574
19810209,1.98E-05,0,0,0.808051191
19810210,0.059319272,0,0,2418.354382
19810211,0.380831775,0,0.934716464,15525.91855
19810212,0.673485739,0,4.683966889,27456.96507
19810213,4.969245564,6.89E-06,27.22691,202588.4052
19810214,0.875200795,0,5.696895523,35680.57384
19810215,0.111446226,0,0.967597674,4543.489139
19810216,0.019703453,0,0,803.2791099
19810217,0.020380665,0,0,830.8879635
19810218,0.130361082,0,0,5314.618347
19810219,0.332164608,0,3.03343079,13541.83395
19810220,0.027047814,0,0,1102.697274
19810221,0.15867528,0,0.717814224,6468.944114
19810222,0.669504656,0,4.403911068,27294.66251
19810223,1.158224747,0,7.55773085,47219.01973
19810224,4.238890796,0,18.63675921,172812.9784
19810225,0.075820806,0,0,3091.096228
19810226,0.69036957,0,5.193476428,28145.29256
19810227,3.173740374,0,11.31283567,129388.454
19810228,1.28805428,3.50E-06,7.559783671,52511.96767
19810301,0.399740064,0,3.403508284,16296.78009
19810302,0.472817265,0,3.688208273,19276.02379
19810303,2.184342327,3.72E-05,12.88981174,89052.23596
19810304,4.42266047,9.23E-04,20.23623697,180304.9819
19810305,5.990737919,4.110078931,18.11624931,244233.0582
19810306,8.217303347,3.271276607,30.74072379,335006.6642
19810307,0.087433576,0,0,3564.530783
19810308,0.047123295,0,0,1921.143375
19810309,1.097450286,0,6.691601765,44741.33959
19810310,4.126466063,0,17.10059675,168229.597
19810311,0.020793962,0,0,847.7374749
19810312,0.320885467,0,1.693063017,13082.00093
19810313,10.72697246,9.12886401,31.59761928,437321.9666
19810314,4.310640032,3.375160056,13.38243745,175738.083
19810315,0.356278745,0,2.811012917,14524.92974
19810316,0.070484606,0,0,2873.547653
19810317,1.735180477,0,12.61959188,70740.60659
19810318,2.43780955,5.62E-05,11.61626884,99385.70004
19810319,6.612928666,4.13448004,22.62231925,269598.8063
19810320,8.127915195,4.750065373,29.26252652,331362.4485
19810321,2.817612611,0,11.86802113,114869.6795
19810322,0.293062447,0,1.810446346,11947.69969
19810323,0,0,0,0
19810324,0.021545369,0,0,878.3711643
19810325,0.399066683,0,3.187246159,16269.32737
19810326,0.067828238,0,0,2765.251659
19810327,0.007655632,0,0,312.1082177
19810328,0.983051557,0,10.10918434,40077.48152
19810329,3.539058344,0,21.36639941,144281.8989
19810330,1.796606671,0,11.8836252,73244.8569
19810331,0,0,0,0
19810401,0.026436161,0,0,1077.761135
19810402,0.863585602,0,6.884737405,35207.04049
19810403,1.016953559,0,6.732841252,41459.61333
19810404,0.037408237,0,0,1525.075583
19810405,2.18E-04,0,0,8.897976696
19810406,0.008421121,0,0,343.3159857
19810407,1.48E-04,0,0,6.051653071
19810408,9.64E-04,0,0,39.30948019
19810409,0.045426749,0,0,1851.977852
19810410,0.001206866,0,0,49.20202837
19810411,0.122316572,0,0,4986.656203
19810412,0.729480009,0,6.360722295,29739.76426
19810413,2.224042338,0,15.76596835,90670.74359
19810414,3.123072064,0,17.77686078,127322.7859
19810415,2.779973418,0,14.72365573,113335.1882
19810416,0.610314414,0,5.441537701,24881.56846
19810417,0.106797126,0,0,4353.952577
19810418,0.009337585,0,0,380.6787853
19810419,0.118536767,0,0,4832.559425
19810420,4.50332615,6.65E-04,25.77944505,183593.5961
19810421,4.744560674,1.14E-04,24.50249834,193428.3521
19810422,0.06516859,0,0,2656.821944
19810423,0.010057999,0,0,410.048959
19810424,0.122056272,0,0,4976.044168
19810425,1.133002439,1.22E-05,9.868011539,46190.7455
19810426,3.276643142,0,17.24617115,133583.6396
19810427,0.940370885,0,7.239356659,38337.45694
19810428,1.404713028,0,9.2520396,57267.96319
19810429,1.017758627,0,7.308272171,41492.43473
19810430,0.296091706,0,0.570115424,12071.19787
19810501,0.074582643,0,0,3040.618226
19810502,3.26E-04,0,0,13.2712388
19810503,0.14798072,2.78E-06,2.78E-06,6032.943584
19810504,8.452219654,2.769955295,31.25465817,344583.8363
19810505,1.28836935,3.83E-05,7.621313962,52524.81258
19810506,0.615717353,1.96E-05,3.868182915,25101.83791
19810507,2.220444847,0,12.38060527,90524.07949
19810508,0.679746486,9.96E-06,5.62902745,27712.20595
19810509,0.183507002,0,0,7481.294757
19810510,0.075212532,0,0,3066.297833
19810511,0.064313367,0,0,2621.955827
19810512,0.882133615,0,7.377547675,35963.21412
19810513,1.334523863,0,9.372514132,54406.46022
19810514,0.038268714,0,0,1560.155884
19810515,0.079032927,0,0,3222.049379
19810516,0.011443897,0,0,466.5498581
19810517,0,0,0,0
19810518,5.16E-04,0,0,21.05194378
19810519,0.001611772,0,0,65.70945253
19810520,0.032881684,0,0,1340.535062
19810521,0.094314702,0,0,3845.063563
19810522,0.076857369,0,0,3133.355263
19810523,3.65E-04,0,0,14.86094178
19810524,0.002323952,0,0,94.74391245
19810525,0.002046307,0,0,83.42474556
19810526,0.077915367,0,0,3176.488205
19810527,0.278060241,0,0,11336.08314
19810528,0.05983764,0,0,2439.487404
19810529,0.077350063,0,0,3153.441631
19810530,1.185303823,0,8.248386678,48322.99153
19810531,0.380998921,0,2.882617976,15532.73285
19810601,0.908515518,0,6.620493539,37038.76324
19810602,0.298719708,0,1.845702321,12178.33742
19810603,0.653434923,0,5.437144074,26639.5245
19810604,0.234451322,0,2.029867768,9558.215394
19810605,0.099930554,0,0,4074.013102
19810606,0.01901085,0,0,775.0427413
19810607,0.212218313,2.21E-05,2.21E-05,8651.810215
19810608,0.87388631,0,7.620327038,35626.98434
19810609,0.841036068,0,6.876665134,34287.73111
19810610,0.314301361,0,2.565927912,12813.57718
19810611,0.33675162,0,0,13728.83927
19810612,0.203512271,0,0,8296.878461
19810613,0.069716965,0,0,2842.252121
19810614,0.181225698,0,0,7388.289557
19810615,0.212729088,0,0,8672.633708
19810616,0.194700262,0,0,7937.626577
19810617,0.061078067,0,0,2490.0577
19810618,0.243514195,0,0,9927.694622
19810619,0.074712351,0,0,3045.906251
19810620,0.25890008,0,0,10554.95319
19810621,0.824552118,0,7.755036826,33615.70616
19810622,0.405485605,0,4.312338,16531.01682
19810623,0.050086498,0,0,2041.948526
19810624,0.157417327,0,0,6417.659353
19810625,0.200347228,0,0,8167.84459
19810626,0.371703805,0,2.638634046,15153.78546
19810627,0.271145241,0,0,11054.16933
19810628,0.925572105,0,7.223558568,37734.13372
19810629,6.649400017,1.96E-04,35.50648228,271085.6865
19810630,8.483938366,4.534865578,30.49444324,345876.9589
19810701,3.449671899,1.70E-04,24.24690912,140637.7527
19810702,0.397165457,0,0,16191.81735
19810703,0.144700344,0,0,5899.207762
19810704,0.275380976,0,0,11226.85364
19810705,0.348685088,1.81E-05,1.81E-05,14215.34819
19810706,0.028696821,0,0,1169.924721
19810707,0.440555667,0,0,17960.76866
19810708,1.060755487,0,3.263576909,43245.34975
19810709,3.148321273,0,24.5495192,128352.1568
19810710,0.198367158,0,1.313210988,8087.120214
19810711,1.060726999,1.00E-04,5.580596927,43244.18833
19810712,0.470169023,0,0,19168.05907
19810713,7.070507838,2.81E-04,50.55207049,288253.5967
19810714,9.820337882,7.95E-04,53.53136886,400359.8865
19810715,3.441565554,1.90E-04,20.46973484,140307.2696
19810716,1.498379764,1.24E-05,9.262251334,61086.61023
19810717,1.495005786,0,14.74623683,60949.05837
19810718,1.044483808,0,9.741452055,42581.97872
19810719,1.171298202,0,10.21866793,47752.00415
19810720,4.185345966,9.88E-05,22.47590669,170630.039
19810721,14.39465675,5.526382679,64.50205558,586847.7453
19810722,11.24479737,2.460116038,49.48648304,458432.8823
19810723,4.720246174,0.004337254,21.52159674,192437.0877
19810724,6.106480804,0.00343827,29.73605346,248951.7154
19810725,4.880485173,3.32E-04,19.86645704,198969.7823
19810726,2.949081517,0.002079006,14.25664064,120229.4621
19810727,6.69671602,0.005352299,38.43551954,273014.6863
19810728,15.25822594,0.010904463,74.47413493,622054.1167
19810729,10.26129918,3.522442885,40.45032052,418337.1923
19810730,1.78238352,1.65E-04,10.87252728,72665.00118
19810731,1.020422293,2.38E-04,3.734415828,41601.02824
19810801,0.429532684,0,0,17511.3788
19810802,0.770146601,1.38E-05,1.38E-05,31397.6779
19810803,1.907591811,0,14.7592894,77769.54826
19810804,1.280711058,0,10.86312668,52212.59592
19810805,2.809120824,5.27E-05,22.23215813,114523.4826
19810806,3.042396514,0.001235912,16.49936828,124033.7693
19810807,2.353356185,0,13.52836273,95942.66779
19810808,7.400886728,5.05E-04,45.47675479,301722.6297
19810809,6.112526636,4.73E-04,35.77821139,249198.1946
19810810,11.82758778,2.50457381,58.45473364,482192.3398
19810811,2.637194333,0,14.28028627,107514.3072
19810812,0.690057366,0,0,28132.5645
19810813,1.301065387,2.32E-05,2.32E-05,53042.41024
19810814,6.479024677,0,44.53484885,264139.7491
19810815,1.834509539,1.09E-04,10.2582204,74790.09781
19810816,0.647276726,0,6.311219841,26388.46438
19810817,1.013366005,0.004262758,5.476834748,41313.35436
19810818,0.238158563,0,0,9709.353826
19810819,0.100664292,0,0,4103.926447
19810820,1.63011304,3.39E-05,3.457181152,66457.17079
19810821,0.629446765,0,4.35203883,25661.56466
19810822,1.141598364,0,7.877239541,46541.18798
19810823,0.282058671,0,0,11499.09291
19810824,0.176311713,0,0,7187.954029
19810825,0.054626703,0,0,2227.04565
19810826,0.139620028,0,0,5692.091187
19810827,0.216223527,0,0,8815.096573
19810828,0.942902773,0,7.122600111,38440.67808
19810829,0.265853779,0,0,10838.44467
19810830,0.136972665,0,0,5584.162289
19810831,0.140718816,0,0,5736.887032
19810901,0.06806592,0,0,2774.941596
19810902,0.052647314,0,0,2146.349038
19810903,0.207611568,0,0,8464.000419
19810904,0.296919758,0,1.284333046,12104.95626
19810905,0.246002076,0,2.5315731,10029.12163
19810906,1.23941053,0,9.624023218,50528.83773
19810907,0.415330154,0,3.93333149,16932.36378
19810908,0.9076394,0,6.387624921,37003.04525
19810909,1.026373506,0,8.64058721,41843.64992
19810910,1.512923851,0,10.62273094,61679.55001
19810911,0.220792038,0,0,9001.347634
19810912,0.009901017,0,0,403.6490312
19810913,0.004635313,0,0,188.9744993
19810914,0.018788259,0,0,765.9680811
19810915,0.065578356,0,0,2673.52749
19810916,0.937295212,0,6.225394322,38212.06655
19810917,2.487246017,0,16.22587811,101401.1478
19810918,5.197491996,8.12E-05,26.74753118,211893.6569
19810919,3.783292845,0,20.61172784,154238.9592
19810920,0.318654177,0,0,12991.03469
19810921,0.050638632,0,0,2064.458179
19810922,7.20E-05,0,0,2.933507204
19810923,0.007662464,0,0,312.3867165
19810924,0.115397698,0,0,4704.584484
19810925,0.156479999,0,0,6379.445952
19810926,0.042802266,0,0,1744.981756
19810927,0.421574019,0,4.814602675,17186.91641
19810928,1.079128204,0,6.222207084,43994.37681
19810929,0.785815544,0,5.368418857,32036.47634
19810930,1.1041923,0,7.821663442,45016.20101
19811001,0.865868419,0,6.063275834,35300.1074
19811002,0.264489541,0,2.78582116,10782.82683
19811003,8.31E-05,0,0,3.386580467
19811004,0.008274241,0,0,337.3279223
19811005,0.008550279,0,0,348.58155
19811006,0,0,0,0
19811007,0,0,0,0
19811008,0.002560555,0,0,104.3898427
19811009,0.008473403,0,0,345.4474325
19811010,0.011374317,0,0,463.713199
19811011,0.185935432,0,0,7580.298106
19811012,0.169713782,0,0,6918.966659
19811013,0.228523156,0,0,9316.533303
19811014,0.412629606,0,3.676624529,16822.26665
19811015,1.31266433,0,7.638109376,53515.2811
19811016,1.156483572,0,6.065631561,47148.03474
19811017,0.013904784,0,0,566.8764107
19811018,0.207828903,0,0,8472.860803
19811019,0.367525341,0,3.969976476,14983.43597
19811020,0.032421973,0,0,1321.793371
19811021,5.63E-04,0,0,22.93475914
19811022,0.561148336,1.72E-05,3.385795258,22877.14401
19811023,0.002350441,0,0,95.82380867
19811024,0.007200636,0,0,293.5587256
19811025,0.335063891,0,4.091143783,13660.03318
19811026,0.947382546,0,7.055086768,38623.31147
19811027,0.557114815,0,4.686477368,22712.70366
19811028,0.648655721,3.23E-05,5.253854582,26444.68387
19811029,0.030298481,0,0,1235.221913
19811030,0.099110468,0,0,4040.579494
19811031,0.10496657,0,0,4279.323623
19811101,0.054838644,0,0,2235.686121
19811102,0.505669618,0,3.171462105,20615.36306
19811103,1.536824649,0,7.936340402,62653.9483
19811104,0.03145995,0,0,1282.573193
19811105,0.001211134,0,0,49.37606654
19811106,1.08E-04,0,0,4.420798302
19811107,0,0,0,0
19811108,0,0,0,0
19811109,0.004616143,0,0,188.1929635
19811110,0.517789023,0,3.060733554,21109.45236
19811111,2.32722001,9.73E-06,12.61238638,94877.13664
19811112,0.05311293,0,0,2165.331481
19811113,0,0,0,0
19811114,0.025086791,0,0,1022.749406
19811115,0.026979778,0,0,1099.923537
19811116,0.007750611,0,0,315.9803262
19811117,0.304686324,0,2.155820882,12421.58707
19811118,0.02896624,0,0,1180.908507
19811119,0.095886498,0,0,3909.143255
19811120,0.010442524,0,0,425.7254319
19811121,0.062223025,0,0,2536.735858
19811122,0.022318845,0,0,909.904554
19811123,0.594973341,6.10E-06,4.441974396,24256.1368
19811124,0.439446688,3.30E-06,2.935508117,17915.55731
19811125,0.027735792,0,0,1130.745058
19811126,0.00307206,0,0,125.2431179
19811127,0.006344457,0,0,258.6536231
19811128,0,0,0,0
19811129,0.007714426,0,0,314.5051522
19811130,0.040559968,0,0,1653.566766
19811201,0.250812044,0,1.187560656,10225.21655
19811202,0.080165694,0,0,3268.23054
19811203,0.205099948,0,0.848052151,8361.605585
19811204,0.032969906,0,0,1344.13175
19811205,0.070773098,0,0,2885.309019
19811206,0.246372267,0,1.280146878,10044.21375
19811207,0.376914997,0,4.409543929,15366.23764
19811208,0.080805304,0,0,3294.306427
19811209,0.177038087,0,0,7217.567175
19811210,0.392658736,5.70E-07,2.690456493,16008.08534
19811211,0,0,0,0
19811212,2.25E-04,0,0,9.192961695
19811213,8.90E-04,0,0,36.28913927
19811214,0.001110529,0,0,45.2745204
19811215,0.031845034,0,0,1298.272445
19811216,8.69E-04,0,0,35.43597722
19811217,0.014153984,0,0,577.0359077
19811218,0.00748774,0,0,305.2634857
19811219,0.174207749,0,0,7102.178705
19811220,0.019371112,0,0,789.730095
19811221,0,0,0,0
19811222,0,0,0,0
19811223,0.001132376,0,0,46.16520739
19811224,0.243334135,0,1.807174916,9920.353826
19811225,0.257858718,0,3.035567337,10512.49847
19811226,1.63338322,6.28E-04,7.876689635,66590.49093
19811227,4.773720024,3.129242005,16.61938669,194617.1334
19811228,0.143727928,0,0,5859.563879
19811229,0.008581161,0,0,349.8405792
19811230,0.121743972,0,0,4963.312201
19811231,0.292078365,0,2.557448166,11907.58021
19820101,0.350280301,7.70E-04,2.627802922,14280.38253
19820102,0.17120104,5.62E-06,0.554168487,6979.599861
19820103,1.778420388,0.007240835,10.74648664,72503.43047
19820104,0.97862117,0.001507871,6.357483854,39896.86152
19820105,6.29E-04,0,0,25.66276503
19820106,0.005360646,0,0,218.5452088
19820107,0.2572894,0,1.19575227,10489.28828
19820108,0.206116444,0,0,8403.046513
19820109,0.259403761,0,0,10575.48747
19820110,0.019188267,0,0,782.2757613
19820111,0,0,0,0
19820112,1.02E-04,0,0,4.175118923
19820113,1.86E-04,0,0,7.574022532
19820114,6.16E-04,0,0,25.12793331
19820115,0.002643578,0,0,107.774547
19820116,7.93E-04,0,0,32.32288504
19820117,0.005413282,0,0,220.6910749
19820118,0.818345776,5.25E-04,5.367507392,33362.68325
19820119,0.021855161,0,0,891.0009088
19820120,0.002661747,0,0,108.5152711
19820121,0.592711913,0,4.064424843,24163.9419
19820122,0.686491172,0,3.686004104,27987.17629
19820123,0.417350859,0,3.063364735,17014.74477
19820124,0.684904054,1.04E-04,3.566047696,27922.47199
19820125,2.346118274,1.71E-04,14.12070495,95647.58946
19820126,6.292787845,0.003982762,42.77512118,256547.1634
19820127,1.234969246,0,9.866613899,50347.77347
