realisation,NoEvents,NoTriggers,MaxTriggersYear,TriggerPerYear,YearsPerTrigger
1.0,107.0,7.0,1.0,0.35,2.857142857142857
2.0,107.0,7.0,1.0,0.35,2.857142857142857
3.0,104.0,7.0,1.0,0.35,2.857142857142857
4.0,104.0,7.0,1.0,0.35,2.857142857142857
5.0,101.0,6.0,1.0,0.3,3.3333333333333335
6.0,100.0,6.0,1.0,0.3,3.3333333333333335
7.0,101.0,6.0,1.0,0.3,3.3333333333333335
8.0,94.0,5.0,1.0,0.25,4.0
9.0,95.0,4.0,1.0,0.2,5.0
10.0,102.0,4.0,1.0,0.2,5.0
11.0,110.0,4.0,1.0,0.2,5.0
12.0,118.0,5.0,1.0,0.25,4.0
13.0,128.0,6.0,1.0,0.3,3.3333333333333335
14.0,123.0,7.0,1.0,0.35,2.857142857142857
15.0,124.0,7.0,1.0,0.35,2.857142857142857
16.0,120.0,7.0,1.0,0.35,2.857142857142857
17.0,115.0,6.0,1.0,0.3,3.3333333333333335
18.0,107.0,6.0,1.0,0.3,3.3333333333333335
19.0,114.0,6.0,1.0,0.3,3.3333333333333335
20.0,111.0,5.0,1.0,0.25,4.0
21.0,105.0,4.0,1.0,0.2,5.0
22.0,110.0,5.0,1.0,0.25,4.0
23.0,111.0,5.0,1.0,0.25,4.0
24.0,113.0,5.0,1.0,0.25,4.0
25.0,112.0,6.0,1.0,0.3,3.3333333333333335
26.0,118.0,7.0,1.0,0.35,2.857142857142857
27.0,121.0,7.0,1.0,0.35,2.857142857142857
28.0,124.0,7.0,1.0,0.35,2.857142857142857
29.0,130.0,7.0,1.0,0.35,2.857142857142857
30.0,128.0,7.0,1.0,0.35,2.857142857142857
31.0,125.0,8.0,1.0,0.4,2.5
32.0,124.0,8.0,1.0,0.4,2.5
33.0,119.0,8.0,1.0,0.4,2.5
34.0,119.0,7.0,1.0,0.35,2.857142857142857
35.0,114.0,7.0,1.0,0.35,2.857142857142857
36.0,118.0,7.0,1.0,0.35,2.857142857142857
37.0,114.0,7.0,1.0,0.35,2.857142857142857
38.0,120.0,8.0,1.0,0.4,2.5
39.0,118.0,8.0,1.0,0.4,2.5
40.0,127.0,8.0,1.0,0.4,2.5
41.0,127.0,8.0,1.0,0.4,2.5
42.0,124.0,7.0,1.0,0.35,2.857142857142857
43.0,128.0,8.0,1.0,0.4,2.5
44.0,127.0,9.0,1.0,0.45,2.2222222222222223
45.0,127.0,8.0,1.0,0.4,2.5
46.0,121.0,7.0,1.0,0.35,2.857142857142857
47.0,116.0,6.0,1.0,0.3,3.3333333333333335
48.0,112.0,6.0,1.0,0.3,3.3333333333333335
49.0,106.0,6.0,1.0,0.3,3.3333333333333335
50.0,103.0,6.0,1.0,0.3,3.3333333333333335
51.0,106.0,6.0,1.0,0.3,3.3333333333333335
52.0,103.0,5.0,1.0,0.25,4.0
53.0,110.0,4.0,1.0,0.2,5.0
54.0,114.0,4.0,1.0,0.2,5.0
55.0,119.0,5.0,1.0,0.25,4.0
56.0,125.0,6.0,1.0,0.3,3.3333333333333335
57.0,127.0,7.0,1.0,0.35,2.857142857142857
58.0,122.0,6.0,1.0,0.3,3.3333333333333335
59.0,121.0,6.0,1.0,0.3,3.3333333333333335
60.0,112.0,6.0,1.0,0.3,3.3333333333333335
61.0,115.0,6.0,1.0,0.3,3.3333333333333335
62.0,119.0,7.0,1.0,0.35,2.857142857142857
63.0,118.0,7.0,1.0,0.35,2.857142857142857
64.0,120.0,6.0,1.0,0.3,3.3333333333333335
65.0,117.0,6.0,1.0,0.3,3.3333333333333335
66.0,120.0,6.0,1.0,0.3,3.3333333333333335
67.0,117.0,6.0,1.0,0.3,3.3333333333333335
68.0,123.0,6.0,1.0,0.3,3.3333333333333335
69.0,118.0,6.0,1.0,0.3,3.3333333333333335
70.0,119.0,6.0,1.0,0.3,3.3333333333333335
71.0,119.0,5.0,1.0,0.25,4.0
72.0,114.0,5.0,1.0,0.25,4.0
73.0,112.0,5.0,1.0,0.25,4.0
74.0,115.0,6.0,1.0,0.3,3.3333333333333335
75.0,115.0,6.0,1.0,0.3,3.3333333333333335
76.0,109.0,5.0,1.0,0.25,4.0
77.0,106.0,4.0,1.0,0.2,5.0
78.0,107.0,4.0,1.0,0.2,5.0
79.0,102.0,4.0,1.0,0.2,5.0
80.0,105.0,4.0,1.0,0.2,5.0
81.0,103.0,4.0,1.0,0.2,5.0
82.0,99.0,3.0,1.0,0.15,6.666666666666667
83.0,103.0,3.0,1.0,0.15,6.666666666666667
84.0,101.0,3.0,1.0,0.15,6.666666666666667
85.0,108.0,3.0,1.0,0.15,6.666666666666667
86.0,111.0,3.0,1.0,0.15,6.666666666666667
87.0,117.0,3.0,1.0,0.15,6.666666666666667
88.0,116.0,3.0,1.0,0.15,6.666666666666667
89.0,123.0,3.0,1.0,0.15,6.666666666666667
90.0,119.0,3.0,1.0,0.15,6.666666666666667
91.0,119.0,4.0,1.0,0.2,5.0
92.0,127.0,4.0,1.0,0.2,5.0
93.0,126.0,4.0,1.0,0.2,5.0
94.0,119.0,3.0,1.0,0.15,6.666666666666667
95.0,120.0,3.0,1.0,0.15,6.666666666666667
