longitude,latitude,t2m,rh,valid_time,t2m_cel,t2m_fah,hi_fah,hi_cel
68.0,28.0,282.63,75.4,2010-01-01 00:00:00,9.48,49.06,47.2,8.44
68.0,28.0,294.1,29.5,2010-01-01 06:00:00,20.95,69.71,67.8,19.89
68.0,28.0,291.58,29.9,2010-01-01 12:00:00,18.43,65.17,62.8,17.11
68.0,28.0,285.62,54.8,2010-01-01 18:00:00,12.47,54.45,52.2,11.22
68.0,28.0,284.99,43.6,2010-01-02 00:00:00,11.84,53.31,50.4,10.22
68.0,28.0,291.17,28.6,2010-01-02 06:00:00,18.02,64.44,61.9,16.61
68.0,28.0,293.0,24.2,2010-01-02 12:00:00,19.85,67.73,65.3,18.5
68.0,28.0,288.74,29.5,2010-01-02 18:00:00,15.59,60.06,57.2,14.0
68.0,28.0,286.18,36.9,2010-01-03 00:00:00,13.03,55.45,52.4,11.33
68.0,28.0,294.97,28.7,2010-01-03 06:00:00,21.82,71.28,69.5,20.83
68.0,28.0,293.24,35.9,2010-01-03 12:00:00,20.09,68.16,66.4,19.11
68.0,28.0,287.84,48.8,2010-01-03 18:00:00,14.69,58.44,56.3,13.5
68.0,28.0,283.16,62.5,2010-01-04 00:00:00,10.01,50.02,47.7,8.72
68.0,28.0,292.7,36.7,2010-01-04 06:00:00,19.55,67.19,65.3,18.5
68.0,28.0,291.8,38.4,2010-01-04 12:00:00,18.65,65.57,63.6,17.56
68.0,28.0,285.22,73.4,2010-01-04 18:00:00,12.07,53.73,52.3,11.28
68.0,28.0,282.51,78.6,2010-01-05 00:00:00,9.36,48.85,47.1,8.39
68.0,28.0,294.04,33.2,2010-01-05 06:00:00,20.89,69.6,67.8,19.89
68.0,28.0,293.05,29.8,2010-01-05 12:00:00,19.9,67.82,65.7,18.72
68.0,28.0,285.26,65.4,2010-01-05 18:00:00,12.11,53.8,52.0,11.11
68.0,28.0,283.01,70.9,2010-01-06 00:00:00,9.86,49.75,47.8,8.78
68.0,28.0,294.8,29.4,2010-01-06 06:00:00,21.65,70.97,69.1,20.61
68.0,28.0,292.8,31.7,2010-01-06 12:00:00,19.65,67.37,65.3,18.5
68.0,28.0,286.56,46.5,2010-01-06 18:00:00,13.41,56.14,53.6,12.0
68.0,28.0,283.17,64.4,2010-01-07 00:00:00,10.02,50.04,47.8,8.78
68.0,28.0,293.9,29.1,2010-01-07 06:00:00,20.75,69.35,67.4,19.67
68.0,28.0,294.61,27.8,2010-01-07 12:00:00,21.46,70.63,68.7,20.39
68.0,28.0,285.66,49.6,2010-01-07 18:00:00,12.51,54.52,52.0,11.11
68.0,28.0,283.49,59.0,2010-01-08 00:00:00,10.34,50.61,48.1,8.94
68.0,28.0,293.44,30.8,2010-01-08 06:00:00,20.29,68.52,66.5,19.17
68.0,28.0,292.88,26.5,2010-01-08 12:00:00,19.73,67.51,65.2,18.44
68.0,28.0,284.24,43.3,2010-01-08 18:00:00,11.09,51.96,48.9,9.39
68.0,28.0,281.7,68.1,2010-01-09 00:00:00,8.55,47.39,45.0,7.22
68.0,28.0,293.5,22.4,2010-01-09 06:00:00,20.35,68.63,66.2,19.0
68.0,28.0,290.8,23.8,2010-01-09 12:00:00,17.65,63.77,61.0,16.11
68.0,28.0,283.32,37.5,2010-01-09 18:00:00,10.17,50.31,46.8,8.22
68.0,28.0,281.05,63.0,2010-01-10 00:00:00,7.9,46.22,43.5,6.39
68.0,28.0,292.98,19.0,2010-01-10 06:00:00,19.83,67.69,65.1,18.39
68.0,28.0,291.65,18.6,2010-01-10 12:00:00,18.5,65.3,62.4,16.89
68.0,28.0,283.11,37.5,2010-01-10 18:00:00,9.96,49.93,46.4,8.0
68.0,28.0,281.35,43.7,2010-01-11 00:00:00,8.2,46.76,43.2,6.22
68.0,28.0,292.89,22.1,2010-01-11 06:00:00,19.74,67.53,65.0,18.33
68.0,28.0,292.18,22.5,2010-01-11 12:00:00,19.03,66.25,63.6,17.56
68.0,28.0,287.76,24.4,2010-01-11 18:00:00,14.61,58.3,55.0,12.78
68.0,28.0,287.83,26.9,2010-01-12 00:00:00,14.68,58.42,55.2,12.89
68.0,28.0,291.81,22.4,2010-01-12 06:00:00,18.66,65.59,62.9,17.17
68.0,28.0,292.73,28.2,2010-01-12 12:00:00,19.58,67.24,65.0,18.33
68.0,28.0,284.82,51.5,2010-01-12 18:00:00,11.67,53.01,50.4,10.22
68.0,28.0,282.88,59.6,2010-01-13 00:00:00,9.73,49.51,47.0,8.33
68.0,28.0,292.55,30.7,2010-01-13 06:00:00,19.4,66.92,64.8,18.22
68.0,28.0,291.66,21.5,2010-01-13 12:00:00,18.51,65.32,62.6,17.0
68.0,28.0,283.08,39.3,2010-01-13 18:00:00,9.93,49.87,46.4,8.0
68.0,28.0,281.39,55.7,2010-01-14 00:00:00,8.24,46.83,43.8,6.56
68.0,28.0,292.89,24.3,2010-01-14 06:00:00,19.74,67.53,65.1,18.39
68.0,28.0,291.53,26.2,2010-01-14 12:00:00,18.38,65.08,62.5,16.94
68.0,28.0,284.28,39.4,2010-01-14 18:00:00,11.13,52.03,48.8,9.33
68.0,28.0,281.99,46.4,2010-01-15 00:00:00,8.84,47.91,44.6,7.0
68.0,28.0,293.0,22.9,2010-01-15 06:00:00,19.85,67.73,65.3,18.5
68.0,28.0,291.86,26.5,2010-01-15 12:00:00,18.71,65.68,63.2,17.33
68.0,28.0,284.29,64.6,2010-01-15 18:00:00,11.14,52.05,50.0,10.0
68.0,28.0,282.13,56.4,2010-01-16 00:00:00,8.98,48.16,45.3,7.39
68.0,28.0,294.43,20.9,2010-01-16 06:00:00,21.28,70.3,68.0,20.0
68.0,28.0,292.4,22.7,2010-01-16 12:00:00,19.25,66.65,64.1,17.83
68.0,28.0,284.65,62.4,2010-01-16 18:00:00,11.5,52.7,50.6,10.33
68.0,28.0,282.42,64.3,2010-01-17 00:00:00,9.27,48.69,46.3,7.94
68.0,28.0,295.63,17.3,2010-01-17 06:00:00,22.48,72.46,70.2,21.22
68.0,28.0,293.78,22.5,2010-01-17 12:00:00,20.63,69.13,66.8,19.33
68.0,28.0,285.81,61.4,2010-01-17 18:00:00,12.66,54.79,52.9,11.61
68.0,28.0,284.02,60.7,2010-01-18 00:00:00,10.87,51.57,49.3,9.61
