latitude,longitude,valid_time,t2m,rh,t2m_cel,t2m_fah,hi_fah,hi_cel
28.0,68.0,2022-01-01 00:00:00,287.2833,29.3,14.13,57.44,54.3,12.39
28.0,68.0,2022-01-01 06:00:00,293.45288,19.7,20.3,68.55,66.0,18.89
28.0,68.0,2022-01-01 12:00:00,295.46082,18.4,22.31,72.16,69.9,21.06
28.0,68.0,2022-01-01 18:00:00,289.9187,30.3,16.77,62.18,59.5,15.28
28.0,68.0,2022-01-02 00:00:00,287.5979,32.4,14.45,58.01,55.0,12.78
28.0,68.0,2022-01-02 06:00:00,294.31638,19.6,21.17,70.1,67.7,19.83
28.0,68.0,2022-01-02 12:00:00,296.4434,18.4,23.29,73.93,71.9,22.17
28.0,68.0,2022-01-02 18:00:00,290.9932,26.4,17.84,64.12,61.5,16.39
28.0,68.0,2022-01-03 00:00:00,287.5676,29.8,14.42,57.95,54.8,12.67
28.0,68.0,2022-01-03 06:00:00,294.28906,17.6,21.14,70.05,67.6,19.78
28.0,68.0,2022-01-03 12:00:00,296.54364,18.0,23.39,74.11,72.1,22.28
28.0,68.0,2022-01-03 18:00:00,291.80966,23.2,18.66,65.59,62.9,17.17
28.0,68.0,2022-01-04 00:00:00,289.3633,55.3,16.21,61.18,59.6,15.33
28.0,68.0,2022-01-04 06:00:00,292.74542,37.7,19.6,67.27,65.5,18.61
28.0,68.0,2022-01-04 12:00:00,291.26602,47.0,18.12,64.61,63.0,17.22
28.0,68.0,2022-01-04 18:00:00,286.48566,88.4,13.34,56.0,55.5,13.06
28.0,68.0,2022-01-05 00:00:00,286.58142,88.0,13.43,56.18,55.6,13.11
28.0,68.0,2022-01-05 06:00:00,289.58044,71.1,16.43,61.57,60.8,16.0
28.0,68.0,2022-01-05 12:00:00,293.12082,54.2,19.97,67.95,67.0,19.44
28.0,68.0,2022-01-05 18:00:00,288.475,75.0,15.33,59.59,58.8,14.89
28.0,68.0,2022-01-06 00:00:00,286.777,84.2,13.63,56.53,55.8,13.22
28.0,68.0,2022-01-06 06:00:00,290.51395,56.6,17.36,63.26,61.9,16.61
28.0,68.0,2022-01-06 12:00:00,290.5699,57.0,17.42,63.36,62.1,16.72
28.0,68.0,2022-01-06 18:00:00,286.51553,88.1,13.37,56.06,55.5,13.06
28.0,68.0,2022-01-07 00:00:00,285.60522,87.7,12.46,54.42,53.7,12.06
28.0,68.0,2022-01-07 06:00:00,287.9837,65.3,14.83,58.7,57.3,14.06
28.0,68.0,2022-01-07 12:00:00,288.37802,62.7,15.23,59.41,58.0,14.44
28.0,68.0,2022-01-07 18:00:00,285.51453,76.7,12.36,54.26,53.0,11.67
28.0,68.0,2022-01-08 00:00:00,284.0631,85.3,10.91,51.64,50.5,10.28
28.0,68.0,2022-01-08 06:00:00,288.7837,61.9,15.63,60.14,58.8,14.89
28.0,68.0,2022-01-08 12:00:00,291.93555,47.1,18.79,65.81,64.3,17.94
28.0,68.0,2022-01-08 18:00:00,287.56073,63.2,14.41,57.94,56.4,13.56
28.0,68.0,2022-01-09 00:00:00,285.69232,72.2,12.54,54.58,53.1,11.72
28.0,68.0,2022-01-09 06:00:00,290.5904,52.7,17.44,63.39,61.9,16.61
28.0,68.0,2022-01-09 12:00:00,292.8682,39.2,19.72,67.49,65.8,18.78
28.0,68.0,2022-01-09 18:00:00,287.6465,54.9,14.5,58.09,56.2,13.44
28.0,68.0,2022-01-10 00:00:00,285.56937,62.6,12.42,54.35,52.4,11.33
28.0,68.0,2022-01-10 06:00:00,291.53644,45.8,18.39,65.1,63.5,17.5
28.0,68.0,2022-01-10 12:00:00,293.60202,37.4,20.45,68.81,67.1,19.5
28.0,68.0,2022-01-10 18:00:00,288.30115,49.8,15.15,59.27,57.2,14.0
28.0,68.0,2022-01-11 00:00:00,286.50012,54.0,13.35,56.03,53.9,12.17
28.0,68.0,2022-01-11 06:00:00,291.36032,42.8,18.21,64.78,63.0,17.22
28.0,68.0,2022-01-11 12:00:00,293.409,36.6,20.26,68.47,66.7,19.28
28.0,68.0,2022-01-11 18:00:00,287.74542,52.8,14.6,58.27,56.3,13.5
28.0,68.0,2022-01-12 00:00:00,286.2358,56.8,13.09,55.55,53.5,11.94
28.0,68.0,2022-01-12 06:00:00,291.97443,39.9,18.82,65.88,64.0,17.78
28.0,68.0,2022-01-12 12:00:00,294.09512,31.9,20.95,69.7,67.9,19.94
28.0,68.0,2022-01-12 18:00:00,288.18127,43.1,15.03,59.06,56.7,13.72
28.0,68.0,2022-01-13 00:00:00,286.28018,53.6,13.13,55.63,53.4,11.89
28.0,68.0,2022-01-13 06:00:00,292.70413,36.3,19.55,67.2,65.3,18.5
28.0,68.0,2022-01-13 12:00:00,294.99335,27.4,21.84,71.32,69.4,20.78
28.0,68.0,2022-01-13 18:00:00,288.28366,37.6,15.13,59.24,56.6,13.67
28.0,68.0,2022-01-14 00:00:00,286.38507,40.3,13.24,55.82,53.0,11.67
28.0,68.0,2022-01-14 06:00:00,292.45343,29.7,19.3,66.75,64.5,18.06
28.0,68.0,2022-01-14 12:00:00,294.6535,29.5,21.5,70.71,68.9,20.5
