time,longitude,latitude,t2m,rh,t2m_cel,t2m_fah,hi_fah,hi_cel,Fill
2004-04-01,68.0,28.0,304.17499999999995,11.5,31.025000000000002,87.845,83.675,28.71,False
2004-04-02,68.0,28.0,304.0,15.5,30.85,87.52999999999999,83.80000000000001,28.7775,False
2004-04-03,68.0,28.0,305.0,16.75,31.85,89.33000000000001,85.75,29.86,False
2004-04-04,68.0,28.0,304.825,21.25,31.675,89.01500000000001,86.07499999999999,30.04,False
2004-04-05,68.0,28.0,304.875,16.5,31.724999999999998,89.105,85.30000000000001,29.6125,False
2004-04-06,68.0,28.0,305.84999999999997,12.0,32.7,90.86,85.95,29.9725,False
2004-04-07,68.0,28.0,307.8,15.0,34.65,94.37,90.275,32.375,False
2004-04-08,68.0,28.0,306.15,13.5,33.0,91.39999999999999,86.9,30.5,False
2004-04-09,68.0,28.0,307.175,9.0,34.025,93.245,87.975,31.0975,False
2004-04-10,68.0,28.0,305.025,10.0,31.875,89.375,84.775,29.32,False
2004-04-11,68.0,28.0,305.5,9.75,32.35,90.23,85.1,29.4975,False
2004-04-12,68.0,28.0,307.525,11.0,34.37499999999999,93.875,89.025,31.68,False
2004-04-13,68.0,28.0,307.575,14.5,34.425,93.965,89.55000000000001,31.97,False
2004-04-14,68.0,28.0,308.32500000000005,14.5,35.175,95.315,90.9,32.7225,False
2004-04-15,68.0,28.0,308.9,13.75,35.75,96.35000000000001,91.875,33.2625,False
2004-04-16,68.0,28.0,309.55,11.25,36.400000000000006,97.52000000000001,92.19999999999999,33.442499999999995,False
2004-04-17,68.0,28.0,306.32500000000005,11.0,33.175,91.715,87.42500000000001,30.79,False
2004-04-18,68.0,28.0,304.9,11.5,31.749999999999996,89.15,84.57499999999999,29.21,False
2004-04-19,68.0,28.0,306.275,13.75,33.125,91.625,86.85000000000001,30.4725,False
2004-04-20,68.0,28.0,307.32500000000005,17.5,34.175,93.515,89.8,32.1125,False
2004-04-21,68.0,28.0,306.275,20.25,33.125,91.625,88.5,31.3875,False
2004-04-22,68.0,28.0,306.8,17.75,33.65,92.57,89.2,31.7775,False
2004-04-23,68.0,28.0,303.7,11.0,30.55,86.99,82.075,27.8175,False
2004-04-24,68.0,28.0,304.875,12.0,31.725,89.10499999999999,84.225,29.0125,False
2004-04-25,68.0,28.0,306.20000000000005,14.5,33.05,91.49,87.55,30.86,False
2004-04-26,68.0,28.0,307.29999999999995,14.5,34.15,93.47,88.7,31.5,False
2004-04-27,68.0,28.0,308.975,11.0,35.824999999999996,96.485,91.25,32.917500000000004,False
2004-04-28,68.0,28.0,308.75,10.0,35.6,96.08000000000001,90.64999999999999,32.582499999999996,False
2004-04-29,68.0,28.0,306.575,8.75,33.425000000000004,92.165,87.67500000000001,30.93,False
2004-04-30,68.0,28.0,303.275,5.0,30.125,86.225,81.475,27.4875,False
2004-05-01,68.0,28.0,300.79999999999995,9.5,27.65,81.77,76.95,24.9725,False
2004-05-02,68.0,28.0,301.79999999999995,19.0,28.65,83.57,79.95,26.64,False
2004-05-03,68.0,28.0,304.925,16.0,31.775000000000002,89.195,85.25,29.5825,False
2004-05-04,68.0,28.0,307.6,12.75,34.449999999999996,94.00999999999999,89.375,31.8725,False
2004-05-05,68.0,28.0,307.875,11.75,34.725,94.505,89.875,32.1525,False
2004-05-06,68.0,28.0,309.67499999999995,10.75,36.525,97.74499999999999,92.57500000000002,33.6525,False
2004-05-07,68.0,28.0,308.8,15.0,35.65,96.17000000000002,91.97500000000001,33.32,False
2004-05-08,68.0,28.0,309.34999999999997,15.25,36.2,97.16,92.85,33.807500000000005,False
2004-05-09,68.0,28.0,308.025,20.25,34.875,94.775,91.825,33.235,False
2004-05-10,68.0,28.0,309.9,20.25,36.75,98.14999999999999,95.22500000000001,35.125,False
2004-05-11,68.0,28.0,309.875,23.75,36.724999999999994,98.10499999999999,96.07499999999999,35.5975,False
2004-05-12,68.0,28.0,308.625,24.0,35.474999999999994,95.855,93.25,34.0275,False
2004-05-13,68.0,28.0,310.675,21.5,37.525000000000006,99.545,97.0,36.1125,False
2004-05-14,68.0,28.0,310.125,23.0,36.975,98.555,96.25,35.692499999999995,False
2004-05-15,68.0,28.0,310.175,23.25,37.025000000000006,98.645,96.47500000000001,35.82,False
2004-05-16,68.0,28.0,310.025,21.25,36.875,98.375,95.82499999999999,35.457499999999996,False
