longitude,latitude,t2m,rh,valid_time,t2m_cel,t2m_fah,hi_fah,hi_cel
67.0,25.0,291.03134,37.1,2018-01-01 00:00:00,17.88,64.19,62.1,16.72
67.0,25.0,296.5725,16.8,2018-01-01 06:00:00,23.42,74.16,72.1,22.28
67.0,25.0,297.43076,23.2,2018-01-01 12:00:00,24.28,75.71,74.1,23.39
67.0,25.0,292.79083,49.2,2018-01-01 18:00:00,19.64,67.35,66.1,18.94
67.0,25.0,290.80933,51.6,2018-01-02 00:00:00,17.66,63.79,62.3,16.83
67.0,25.0,296.69995,16.9,2018-01-02 06:00:00,23.55,74.39,72.3,22.39
67.0,25.0,297.9955,12.1,2018-01-02 12:00:00,24.85,76.72,74.7,23.72
67.0,25.0,292.3158,34.7,2018-01-02 18:00:00,19.17,66.5,64.5,18.06
67.0,25.0,290.6041,40.7,2018-01-03 00:00:00,17.45,63.42,61.4,16.33
67.0,25.0,296.09607,33.3,2018-01-03 06:00:00,22.95,73.3,71.9,22.17
67.0,25.0,296.9099,37.2,2018-01-03 12:00:00,23.76,74.77,73.7,23.17
67.0,25.0,293.48376,65.9,2018-01-03 18:00:00,20.33,68.6,68.3,20.17
67.0,25.0,292.80533,74.5,2018-01-04 00:00:00,19.66,67.38,67.3,19.61
67.0,25.0,296.51947,51.4,2018-01-04 06:00:00,23.37,74.07,73.6,23.11
67.0,25.0,296.31067,54.1,2018-01-04 12:00:00,23.16,73.69,73.3,22.94
67.0,25.0,293.44864,70.2,2018-01-04 18:00:00,20.3,68.54,68.4,20.22
67.0,25.0,291.46893,80.6,2018-01-05 00:00:00,18.32,64.97,65.0,18.33
67.0,25.0,296.49634,45.0,2018-01-05 06:00:00,23.35,74.02,73.2,22.89
67.0,25.0,297.9128,32.3,2018-01-05 12:00:00,24.76,76.57,75.4,24.11
67.0,25.0,293.52368,57.3,2018-01-05 18:00:00,20.37,68.67,67.9,19.94
67.0,25.0,291.48935,68.5,2018-01-06 00:00:00,18.34,65.01,64.4,18.0
67.0,25.0,295.85065,44.1,2018-01-06 06:00:00,22.7,72.86,71.9,22.17
67.0,25.0,297.38684,32.4,2018-01-06 12:00:00,24.24,75.63,74.4,23.56
67.0,25.0,293.3073,46.6,2018-01-06 18:00:00,20.16,68.28,67.0,19.44
67.0,25.0,291.2904,32.6,2018-01-07 00:00:00,18.14,64.65,62.3,16.83
67.0,25.0,295.6807,41.0,2018-01-07 06:00:00,22.53,72.56,71.4,21.89
67.0,25.0,296.3805,45.2,2018-01-07 12:00:00,23.23,73.81,73.0,22.78
67.0,25.0,292.9801,59.4,2018-01-07 18:00:00,19.83,67.69,67.0,19.44
67.0,25.0,291.17545,67.6,2018-01-08 00:00:00,18.03,64.45,63.8,17.67
67.0,25.0,295.13446,49.5,2018-01-08 06:00:00,21.98,71.57,70.8,21.56
67.0,25.0,296.97626,43.9,2018-01-08 12:00:00,23.83,74.89,74.1,23.39
67.0,25.0,293.2186,63.5,2018-01-08 18:00:00,20.07,68.12,67.6,19.78
67.0,25.0,291.92618,68.7,2018-01-09 00:00:00,18.78,65.8,65.3,18.5
67.0,25.0,297.694,22.2,2018-01-09 06:00:00,24.54,76.18,74.5,23.61
67.0,25.0,298.9766,16.3,2018-01-09 12:00:00,25.83,78.49,76.8,24.89
67.0,25.0,294.53253,22.0,2018-01-09 18:00:00,21.38,70.49,68.3,20.17
67.0,25.0,292.5247,27.3,2018-01-10 00:00:00,19.37,66.87,64.5,18.06
67.0,25.0,298.82635,18.3,2018-01-10 06:00:00,25.68,78.22,76.6,24.78
67.0,25.0,300.32523,17.6,2018-01-10 12:00:00,27.18,80.92,79.5,26.39
67.0,25.0,295.886,17.8,2018-01-10 18:00:00,22.74,72.92,70.7,21.5
67.0,25.0,294.58337,18.1,2018-01-11 00:00:00,21.43,70.58,68.2,20.11
67.0,25.0,298.0439,15.2,2018-01-11 06:00:00,24.89,76.81,74.9,23.83
67.0,25.0,297.9282,15.8,2018-01-11 12:00:00,24.78,76.6,74.7,23.72
67.0,25.0,296.92142,18.2,2018-01-11 18:00:00,23.77,74.79,72.8,22.67
67.0,25.0,295.38696,16.3,2018-01-12 00:00:00,22.24,72.03,69.7,20.94
67.0,25.0,298.79187,17.4,2018-01-12 06:00:00,25.64,78.16,76.5,24.72
67.0,25.0,300.44266,21.7,2018-01-12 12:00:00,27.29,81.13,80.0,26.67
67.0,25.0,295.4787,28.3,2018-01-12 18:00:00,22.33,72.19,70.4,21.33
67.0,25.0,294.71997,29.7,2018-01-13 00:00:00,21.57,70.83,69.0,20.56
67.0,25.0,299.08728,23.6,2018-01-13 06:00:00,25.94,78.69,77.4,25.22
67.0,25.0,300.82788,24.1,2018-01-13 12:00:00,27.68,81.82,80.0,26.67
67.0,25.0,296.44528,23.5,2018-01-13 18:00:00,23.3,73.93,72.1,22.28
67.0,25.0,293.84985,30.8,2018-01-14 00:00:00,20.7,69.26,67.3,19.61
67.0,25.0,299.91943,17.2,2018-01-14 06:00:00,26.77,80.18,78.7,25.94
67.0,25.0,300.52325,16.6,2018-01-14 12:00:00,27.37,81.27,79.9,26.61
67.0,25.0,294.4933,28.0,2018-01-14 18:00:00,21.34,70.42,68.5,20.28
67.0,25.0,293.59537,26.3,2018-01-15 00:00:00,20.45,68.8,66.6,19.22
67.0,25.0,300.38046,19.5,2018-01-15 06:00:00,27.23,81.01,79.7,26.5
67.0,25.0,301.69885,16.6,2018-01-15 12:00:00,28.55,83.39,80.7,27.06
67.0,25.0,295.51538,31.9,2018-01-15 18:00:00,22.37,72.26,70.7,21.5
67.0,25.0,293.814,45.9,2018-01-16 00:00:00,20.66,69.2,68.0,20.0
67.0,25.0,299.33737,31.3,2018-01-16 06:00:00,26.19,79.14,78.2,25.67
67.0,25.0,297.85098,39.4,2018-01-16 12:00:00,24.7,76.46,75.7,24.28
67.0,25.0,294.49243,66.5,2018-01-16 18:00:00,21.34,70.42,70.3,21.28
67.0,25.0,293.6692,72.9,2018-01-17 00:00:00,20.52,68.93,68.9,20.5
67.0,25.0,296.96213,50.4,2018-01-17 06:00:00,23.81,74.86,74.4,23.56
67.0,25.0,298.75723,41.8,2018-01-17 12:00:00,25.61,78.09,77.6,25.33
67.0,25.0,294.22302,59.5,2018-01-17 18:00:00,21.07,69.93,69.4,20.78
67.0,25.0,292.0801,47.0,2018-01-18 00:00:00,18.93,66.07,64.6,18.11
67.0,25.0,299.60565,5.9,2018-01-18 06:00:00,26.46,79.62,77.6,25.33
67.0,25.0,301.19223,11.4,2018-01-18 12:00:00,28.04,82.48,79.8,26.56
67.0,25.0,294.95975,25.7,2018-01-18 18:00:00,21.81,71.26,69.3,20.72
67.0,25.0,291.4051,33.5,2018-01-19 00:00:00,18.26,64.86,62.6,17.0
67.0,25.0,298.1163,15.3,2018-01-19 06:00:00,24.97,76.94,75.1,23.94
67.0,25.0,299.9503,15.1,2018-01-19 12:00:00,26.8,80.24,78.7,25.94
67.0,25.0,293.9973,22.6,2018-01-19 18:00:00,20.85,69.53,67.2,19.56
67.0,25.0,292.07422,31.1,2018-01-20 00:00:00,18.92,66.06,63.8,17.67
67.0,25.0,297.5745,14.2,2018-01-20 06:00:00,24.42,75.96,73.9,23.28
67.0,25.0,298.46185,18.7,2018-01-20 12:00:00,25.31,77.56,75.9,24.39
67.0,25.0,293.21613,46.0,2018-01-20 18:00:00,20.07,68.12,66.8,19.33
67.0,25.0,291.95776,60.7,2018-01-21 00:00:00,18.81,65.85,65.0,18.33
67.0,25.0,296.73465,36.8,2018-01-21 06:00:00,23.58,74.45,73.3,22.94
67.0,25.0,296.9917,31.6,2018-01-21 12:00:00,23.84,74.92,73.6,23.11
67.0,25.0,293.54175,69.9,2018-01-21 18:00:00,20.39,68.71,68.6,20.33
67.0,25.0,293.28046,76.9,2018-01-22 00:00:00,20.13,68.23,68.4,20.22
67.0,25.0,297.0795,41.1,2018-01-22 06:00:00,23.93,75.07,74.2,23.44
67.0,25.0,297.1501,37.5,2018-01-22 12:00:00,24.0,75.2,74.2,23.44
67.0,25.0,294.06024,45.5,2018-01-22 18:00:00,20.91,69.64,68.4,20.22
67.0,25.0,291.50757,24.6,2018-01-23 00:00:00,18.36,65.04,62.4,16.89
67.0,25.0,294.98685,18.3,2018-01-23 06:00:00,21.84,71.31,69.0,20.56
67.0,25.0,296.9735,20.5,2018-01-23 12:00:00,23.82,74.88,73.0,22.78
67.0,25.0,292.31995,43.1,2018-01-23 18:00:00,19.17,66.51,64.9,18.28
67.0,25.0,289.85327,54.7,2018-01-24 00:00:00,16.7,62.07,60.5,15.83
67.0,25.0,296.14468,31.1,2018-01-24 06:00:00,22.99,73.39,71.9,22.17
67.0,25.0,297.1281,41.1,2018-01-24 12:00:00,23.98,75.16,74.3,23.5
67.0,25.0,292.7457,56.2,2018-01-24 18:00:00,19.6,67.27,66.3,19.06
67.0,25.0,291.60007,67.8,2018-01-25 00:00:00,18.45,65.21,64.6,18.11
67.0,25.0,296.387,39.0,2018-01-25 06:00:00,23.24,73.83,72.7,22.61
67.0,25.0,297.4041,36.3,2018-01-25 12:00:00,24.25,75.66,74.6,23.67
67.0,25.0,293.20248,58.3,2018-01-25 18:00:00,20.05,68.09,67.3,19.61
67.0,25.0,290.77286,71.3,2018-01-26 00:00:00,17.62,63.72,63.1,17.28
67.0,25.0,296.22443,39.5,2018-01-26 06:00:00,23.07,73.53,72.4,22.44
67.0,25.0,297.9368,37.5,2018-01-26 12:00:00,24.79,76.62,75.7,24.28
67.0,25.0,293.54114,67.1,2018-01-26 18:00:00,20.39,68.7,68.4,20.22
67.0,25.0,291.49265,77.1,2018-01-27 00:00:00,18.34,65.02,64.8,18.22
67.0,25.0,296.30658,42.6,2018-01-27 06:00:00,23.16,73.68,72.8,22.67
67.0,25.0,297.68863,35.6,2018-01-27 12:00:00,24.54,76.17,75.2,24.0
67.0,25.0,293.39392,60.7,2018-01-27 18:00:00,20.24,68.44,67.8,19.89
67.0,25.0,291.22025,71.6,2018-01-28 00:00:00,18.07,64.53,64.0,17.78
67.0,25.0,296.12335,48.0,2018-01-28 06:00:00,22.97,73.35,72.6,22.56
67.0,25.0,298.32175,35.4,2018-01-28 12:00:00,25.17,77.31,76.4,24.67
67.0,25.0,293.82587,64.5,2018-01-28 18:00:00,20.68,69.22,68.9,20.5
67.0,25.0,292.10098,74.8,2018-01-29 00:00:00,18.95,66.11,65.9,18.83
67.0,25.0,296.8913,50.8,2018-01-29 06:00:00,23.74,74.73,74.3,23.5
67.0,25.0,298.68213,44.8,2018-01-29 12:00:00,25.53,77.96,77.6,25.33
67.0,25.0,294.61,66.5,2018-01-29 18:00:00,21.46,70.63,70.5,21.39
67.0,25.0,292.92618,75.7,2018-01-30 00:00:00,19.78,67.6,67.6,19.78
67.0,25.0,298.17496,41.9,2018-01-30 06:00:00,25.02,77.04,76.4,24.67
67.0,25.0,301.358,27.1,2018-01-30 12:00:00,28.21,82.77,80.8,27.11
67.0,25.0,295.32217,45.8,2018-01-30 18:00:00,22.17,71.91,71.0,21.67
67.0,25.0,293.32153,60.9,2018-01-31 00:00:00,20.17,68.31,67.7,19.83
67.0,25.0,297.94034,46.9,2018-01-31 06:00:00,24.79,76.62,76.2,24.56
67.0,25.0,298.93277,39.6,2018-01-31 12:00:00,25.78,78.41,77.8,25.44
67.0,25.0,294.4379,78.2,2018-01-31 18:00:00,21.29,70.32,70.7,21.5
67.0,25.0,293.64166,73.3,2018-02-01 00:00:00,20.49,68.88,68.9,20.5
67.0,25.0,298.46924,42.5,2018-02-01 06:00:00,25.32,77.57,77.0,25.0
67.0,25.0,300.34323,33.3,2018-02-01 12:00:00,27.19,80.95,80.0,26.67
67.0,25.0,294.9939,59.5,2018-02-01 18:00:00,21.84,71.32,70.9,21.61
67.0,25.0,292.1969,59.5,2018-02-02 00:00:00,19.05,66.28,65.4,18.56
67.0,25.0,297.74908,34.7,2018-02-02 06:00:00,24.6,76.28,75.2,24.0
67.0,25.0,299.5894,24.9,2018-02-02 12:00:00,26.44,79.59,78.4,25.78
67.0,25.0,294.3244,49.4,2018-02-02 18:00:00,21.17,70.11,69.1,20.61
67.0,25.0,291.97388,52.4,2018-02-03 00:00:00,18.82,65.88,64.6,18.11
67.0,25.0,298.5555,16.9,2018-02-03 06:00:00,25.41,77.73,76.0,24.44
67.0,25.0,300.78964,12.6,2018-02-03 12:00:00,27.64,81.75,79.4,26.33
67.0,25.0,295.70343,9.9,2018-02-03 18:00:00,22.55,72.6,70.0,21.11
67.0,25.0,293.1454,7.0,2018-02-04 00:00:00,20.0,67.99,64.8,18.22
67.0,25.0,298.36234,6.2,2018-02-04 06:00:00,25.21,77.38,75.1,23.94
67.0,25.0,299.60443,9.5,2018-02-04 12:00:00,26.45,79.62,77.7,25.39
67.0,25.0,294.5771,20.9,2018-02-04 18:00:00,21.43,70.57,68.3,20.17
67.0,25.0,292.26892,25.2,2018-02-05 00:00:00,19.12,66.41,63.9,17.72
67.0,25.0,297.8432,9.5,2018-02-05 06:00:00,24.69,76.45,74.2,23.44
67.0,25.0,299.69547,9.4,2018-02-05 12:00:00,26.55,79.78,77.9,25.5
67.0,25.0,294.46542,20.8,2018-02-05 18:00:00,21.32,70.37,68.1,20.06
67.0,25.0,292.30374,26.8,2018-02-06 00:00:00,19.15,66.48,64.1,17.83
67.0,25.0,299.44632,9.4,2018-02-06 06:00:00,26.3,79.33,77.4,25.22
67.0,25.0,301.2077,6.8,2018-02-06 12:00:00,28.06,82.5,79.2,26.22
67.0,25.0,295.14645,19.6,2018-02-06 18:00:00,22.0,71.59,69.4,20.78
67.0,25.0,291.87402,25.1,2018-02-07 00:00:00,18.72,65.7,63.1,17.28
67.0,25.0,297.9498,10.5,2018-02-07 06:00:00,24.8,76.64,74.5,23.61
67.0,25.0,299.25186,10.4,2018-02-07 12:00:00,26.1,78.98,77.1,25.06
67.0,25.0,294.09818,41.8,2018-02-07 18:00:00,20.95,69.71,68.3,20.17
67.0,25.0,291.5435,62.4,2018-02-08 00:00:00,18.39,65.11,64.3,17.94
67.0,25.0,297.69858,20.6,2018-02-08 06:00:00,24.55,76.19,74.5,23.61
67.0,25.0,300.50058,10.9,2018-02-08 12:00:00,27.35,81.23,79.6,26.44
67.0,25.0,294.66098,30.4,2018-02-08 18:00:00,21.51,70.72,68.9,20.5
67.0,25.0,292.11652,52.0,2018-02-09 00:00:00,18.97,66.14,64.9,18.28
67.0,25.0,297.7201,31.9,2018-02-09 06:00:00,24.57,76.23,75.1,23.94
67.0,25.0,298.3653,34.5,2018-02-09 12:00:00,25.22,77.39,76.5,24.72
67.0,25.0,294.42163,60.1,2018-02-09 18:00:00,21.27,70.29,69.8,21.0
67.0,25.0,293.09393,64.3,2018-02-10 00:00:00,19.94,67.9,67.4,19.67
67.0,25.0,296.55157,44.0,2018-02-10 06:00:00,23.4,74.12,73.3,22.94
67.0,25.0,297.72815,39.5,2018-02-10 12:00:00,24.58,76.24,75.4,24.11
67.0,25.0,294.4727,63.2,2018-02-10 18:00:00,21.32,70.38,70.1,21.17
67.0,25.0,293.26044,65.5,2018-02-11 00:00:00,20.11,68.2,67.8,19.89
67.0,25.0,296.50253,37.4,2018-02-11 06:00:00,23.35,74.03,72.9,22.72
67.0,25.0,297.59885,39.8,2018-02-11 12:00:00,24.45,76.01,75.2,24.0
67.0,25.0,294.53644,57.6,2018-02-11 18:00:00,21.39,70.5,70.0,21.11
67.0,25.0,292.6334,60.8,2018-02-12 00:00:00,19.48,67.07,66.3,19.06
67.0,25.0,296.3968,45.1,2018-02-12 06:00:00,23.25,73.84,73.0,22.78
67.0,25.0,297.57327,43.6,2018-02-12 12:00:00,24.42,75.96,75.3,24.06
67.0,25.0,294.88123,55.1,2018-02-12 18:00:00,21.73,71.12,70.5,21.39
67.0,25.0,293.49597,67.6,2018-02-13 00:00:00,20.35,68.62,68.4,20.22
67.0,25.0,297.23972,42.6,2018-02-13 06:00:00,24.09,75.36,74.6,23.67
67.0,25.0,299.30234,36.4,2018-02-13 12:00:00,26.15,79.07,78.4,25.78
67.0,25.0,295.46027,54.3,2018-02-13 18:00:00,22.31,72.16,71.6,22.0
67.0,25.0,293.91052,45.7,2018-02-14 00:00:00,20.76,69.37,68.2,20.11
67.0,25.0,300.759,23.6,2018-02-14 06:00:00,27.61,81.7,79.8,26.56
67.0,25.0,302.3703,17.5,2018-02-14 12:00:00,29.22,84.6,81.6,27.56
67.0,25.0,296.16956,34.4,2018-02-14 18:00:00,23.02,73.44,72.1,22.28
67.0,25.0,293.63632,37.6,2018-02-15 00:00:00,20.49,68.88,67.2,19.56
67.0,25.0,299.85925,25.4,2018-02-15 06:00:00,26.71,80.08,79.0,26.11
