latitude,longitude,valid_time,t2m,rh,t2m_cel,t2m_fah,hi_fah,hi_cel
25.0,67.0,2022-01-01 00:00:00,290.0833,31.0,16.93,62.48,59.9,15.5
25.0,67.0,2022-01-01 06:00:00,295.0029,18.5,21.85,71.34,69.0,20.56
25.0,67.0,2022-01-01 12:00:00,297.1108,19.4,23.96,75.13,73.3,22.94
25.0,67.0,2022-01-01 18:00:00,293.2187,27.5,20.07,68.12,65.9,18.83
25.0,67.0,2022-01-02 00:00:00,291.63788,29.2,18.49,65.28,62.9,17.17
25.0,67.0,2022-01-02 06:00:00,296.1164,21.1,22.97,73.34,71.4,21.89
25.0,67.0,2022-01-02 12:00:00,297.17337,20.7,24.02,75.24,73.4,23.0
25.0,67.0,2022-01-02 18:00:00,293.0032,29.5,19.85,67.74,65.6,18.67
25.0,67.0,2022-01-03 00:00:00,291.3476,31.8,18.2,64.76,62.4,16.89
25.0,67.0,2022-01-03 06:00:00,296.78906,20.3,23.64,74.55,72.7,22.61
25.0,67.0,2022-01-03 12:00:00,298.38367,23.0,25.23,77.42,75.9,24.39
25.0,67.0,2022-01-03 18:00:00,294.58966,31.9,21.44,70.59,68.8,20.44
25.0,67.0,2022-01-04 00:00:00,293.0833,30.5,19.93,67.88,65.8,18.78
25.0,67.0,2022-01-04 06:00:00,296.62543,22.2,23.48,74.26,72.4,22.44
25.0,67.0,2022-01-04 12:00:00,297.67603,26.7,24.53,76.15,74.7,23.72
25.0,67.0,2022-01-04 18:00:00,289.15567,82.2,16.01,60.81,60.5,15.83
25.0,67.0,2022-01-05 00:00:00,289.7614,80.2,16.61,61.9,61.6,16.44
25.0,67.0,2022-01-05 06:00:00,292.28046,73.5,19.13,66.43,66.2,19.0
25.0,67.0,2022-01-05 12:00:00,295.2408,63.0,22.09,71.76,71.6,22.0
25.0,67.0,2022-01-05 18:00:00,292.265,78.1,19.12,66.41,66.4,19.11
25.0,67.0,2022-01-06 00:00:00,290.47702,83.1,17.33,63.19,63.1,17.28
25.0,67.0,2022-01-06 06:00:00,293.08395,65.7,19.93,67.88,67.5,19.72
25.0,67.0,2022-01-06 12:00:00,294.5499,55.3,21.4,70.52,69.9,21.06
25.0,67.0,2022-01-06 18:00:00,291.44556,75.5,18.3,64.93,64.7,18.17
25.0,67.0,2022-01-07 00:00:00,288.2452,72.9,15.1,59.17,58.2,14.56
