longitude,latitude,t2m,rh,valid_time,t2m_cel,t2m_fah,hi_fah,hi_cel
74.0,32.0,280.6,45.0,2009-01-01 00:00:00,7.45,45.41,41.8,5.44
74.0,32.0,290.3,25.1,2009-01-01 06:00:00,17.15,62.87,60.0,15.56
74.0,32.0,285.91,71.2,2009-01-01 12:00:00,12.76,54.97,53.5,11.94
74.0,32.0,281.85,48.0,2009-01-01 18:00:00,8.7,47.66,44.4,6.89
74.0,32.0,281.16,49.3,2009-01-02 00:00:00,8.01,46.42,43.1,6.17
74.0,32.0,290.63,32.1,2009-01-02 06:00:00,17.48,63.46,61.0,16.11
74.0,32.0,285.38,72.5,2009-01-02 12:00:00,12.23,54.01,52.5,11.39
74.0,32.0,282.09,57.4,2009-01-02 18:00:00,8.94,48.09,45.3,7.39
74.0,32.0,279.64,58.8,2009-01-03 00:00:00,6.49,43.68,40.5,4.72
74.0,32.0,291.79,23.6,2009-01-03 06:00:00,18.64,65.55,62.9,17.17
74.0,32.0,287.41,35.6,2009-01-03 12:00:00,14.26,57.67,54.8,12.67
74.0,32.0,286.94,34.3,2009-01-03 18:00:00,13.79,56.82,53.8,12.11
74.0,32.0,284.25,54.3,2009-01-04 00:00:00,11.1,51.98,49.4,9.67
74.0,32.0,290.29,44.5,2009-01-04 06:00:00,17.14,62.85,60.9,16.06
74.0,32.0,285.97,68.5,2009-01-04 12:00:00,12.82,55.08,53.5,11.94
74.0,32.0,284.49,53.4,2009-01-04 18:00:00,11.34,52.41,49.9,9.94
74.0,32.0,281.74,65.4,2009-01-05 00:00:00,8.59,47.46,45.0,7.22
74.0,32.0,289.56,41.9,2009-01-05 06:00:00,16.41,61.54,59.4,15.22
74.0,32.0,286.82,61.3,2009-01-05 12:00:00,13.67,56.61,54.9,12.72
74.0,32.0,283.13,52.8,2009-01-05 18:00:00,9.98,49.96,47.1,8.39
74.0,32.0,279.61,75.6,2009-01-06 00:00:00,6.46,43.63,41.2,5.11
74.0,32.0,289.93,39.3,2009-01-06 06:00:00,16.78,62.2,60.0,15.56
74.0,32.0,286.47,47.8,2009-01-06 12:00:00,13.32,55.98,53.5,11.94
74.0,32.0,281.07,80.5,2009-01-06 18:00:00,7.92,46.26,44.4,6.89
74.0,32.0,280.12,81.6,2009-01-07 00:00:00,6.97,44.55,42.5,5.83
74.0,32.0,290.5,37.9,2009-01-07 06:00:00,17.35,63.23,61.0,16.11
74.0,32.0,285.07,77.0,2009-01-07 12:00:00,11.92,53.46,52.1,11.17
74.0,32.0,281.6,70.3,2009-01-07 18:00:00,8.45,47.21,44.9,7.17
74.0,32.0,280.82,65.5,2009-01-08 00:00:00,7.67,45.81,43.2,6.22
74.0,32.0,290.97,36.1,2009-01-08 06:00:00,17.82,64.08,61.9,16.61
74.0,32.0,285.03,72.4,2009-01-08 12:00:00,11.88,53.38,51.8,11.0
74.0,32.0,281.1,62.8,2009-01-08 18:00:00,7.95,46.31,43.6,6.44
74.0,32.0,279.44,57.2,2009-01-09 00:00:00,6.29,43.32,40.0,4.44
74.0,32.0,290.4,29.9,2009-01-09 06:00:00,17.25,63.05,60.5,15.83
74.0,32.0,285.7,41.1,2009-01-09 12:00:00,12.55,54.59,51.7,10.94
74.0,32.0,282.06,75.4,2009-01-09 18:00:00,8.91,48.04,46.1,7.83
74.0,32.0,280.83,47.2,2009-01-10 00:00:00,7.68,45.82,42.3,5.72
74.0,32.0,291.6,26.8,2009-01-10 06:00:00,18.45,65.21,62.7,17.06
74.0,32.0,286.01,70.9,2009-01-10 12:00:00,12.86,55.15,53.7,12.06
74.0,32.0,282.08,44.0,2009-01-10 18:00:00,8.93,48.07,44.6,7.0
74.0,32.0,280.67,53.8,2009-01-11 00:00:00,7.52,45.54,42.3,5.72
74.0,32.0,290.6,29.1,2009-01-11 06:00:00,17.45,63.41,60.8,16.0
74.0,32.0,288.33,37.4,2009-01-11 12:00:00,15.18,59.32,56.7,13.72
74.0,32.0,282.18,63.1,2009-01-11 18:00:00,9.03,48.25,45.7,7.61
74.0,32.0,280.06,75.2,2009-01-12 00:00:00,6.91,44.44,42.1,5.61
74.0,32.0,290.8,29.3,2009-01-12 06:00:00,17.65,63.77,61.2,16.22
74.0,32.0,285.56,54.0,2009-01-12 12:00:00,12.41,54.34,52.0,11.11
74.0,32.0,283.17,44.1,2009-01-12 18:00:00,10.02,50.04,46.8,8.22
74.0,32.0,279.17,74.3,2009-01-13 00:00:00,6.02,42.84,40.3,4.61
74.0,32.0,291.37,24.8,2009-01-13 06:00:00,18.22,64.8,62.1,16.72
74.0,32.0,285.11,70.5,2009-01-13 12:00:00,11.96,53.53,51.9,11.06
74.0,32.0,281.41,57.3,2009-01-13 18:00:00,8.26,46.87,44.0,6.67
74.0,32.0,280.69,45.8,2009-01-14 00:00:00,7.54,45.57,42.0,5.56
74.0,32.0,291.48,23.5,2009-01-14 06:00:00,18.33,64.99,62.3,16.83
74.0,32.0,286.03,71.7,2009-01-14 12:00:00,12.88,55.18,53.8,12.11
74.0,32.0,283.51,49.3,2009-01-14 18:00:00,10.36,50.65,47.7,8.72
74.0,32.0,283.06,50.3,2009-01-15 00:00:00,9.91,49.84,46.9,8.28
74.0,32.0,292.9,30.4,2009-01-15 06:00:00,19.75,67.55,65.4,18.56
74.0,32.0,289.8,52.8,2009-01-15 12:00:00,16.65,61.97,60.3,15.72
74.0,32.0,287.34,44.5,2009-01-15 18:00:00,14.19,57.54,55.1,12.83
74.0,32.0,285.69,73.4,2009-01-16 00:00:00,12.54,54.57,53.2,11.78
74.0,32.0,289.42,58.3,2009-01-16 06:00:00,16.27,61.29,59.9,15.5
74.0,32.0,286.92,77.2,2009-01-16 12:00:00,13.77,56.79,55.8,13.22
74.0,32.0,286.07,93.1,2009-01-16 18:00:00,12.92,55.26,54.9,12.72
74.0,32.0,285.78,89.4,2009-01-17 00:00:00,12.63,54.73,54.1,12.28
74.0,32.0,290.66,67.9,2009-01-17 06:00:00,17.51,63.52,62.8,17.11
74.0,32.0,287.95,87.0,2009-01-17 12:00:00,14.8,58.64,58.3,14.61
74.0,32.0,288.31,69.8,2009-01-17 18:00:00,15.16,59.29,58.2,14.56
74.0,32.0,286.55,88.9,2009-01-18 00:00:00,13.4,56.12,55.6,13.11
74.0,32.0,287.64,89.7,2009-01-18 06:00:00,14.49,58.08,57.8,14.33
74.0,32.0,287.87,91.2,2009-01-18 12:00:00,14.72,58.5,58.3,14.61
74.0,32.0,283.4,98.8,2009-01-18 18:00:00,10.25,50.45,49.8,9.89
74.0,32.0,284.8,95.8,2009-01-19 00:00:00,11.65,52.97,52.5,11.39
74.0,32.0,290.59,70.4,2009-01-19 06:00:00,17.44,63.39,62.7,17.06
74.0,32.0,287.28,84.2,2009-01-19 12:00:00,14.13,57.43,56.8,13.78
74.0,32.0,282.89,88.3,2009-01-19 18:00:00,9.74,49.53,48.3,9.06
74.0,32.0,282.05,73.1,2009-01-20 00:00:00,8.9,48.02,46.0,7.78
74.0,32.0,290.01,44.1,2009-01-20 06:00:00,16.86,62.35,60.4,15.78
74.0,32.0,288.04,54.2,2009-01-20 12:00:00,14.89,58.8,56.9,13.83
74.0,32.0,283.74,63.7,2009-01-20 18:00:00,10.59,51.06,48.9,9.39
74.0,32.0,281.24,57.2,2009-01-21 00:00:00,8.09,46.56,43.6,6.44
74.0,32.0,291.08,35.9,2009-01-21 06:00:00,17.93,64.27,62.1,16.72
74.0,32.0,289.22,45.8,2009-01-21 12:00:00,16.07,60.93,58.9,14.94
74.0,32.0,284.23,67.4,2009-01-21 18:00:00,11.08,51.94,50.0,10.0
74.0,32.0,282.76,51.8,2009-01-22 00:00:00,9.61,49.3,46.4,8.0
74.0,32.0,291.95,34.8,2009-01-22 06:00:00,18.8,65.84,63.8,17.67
74.0,32.0,287.66,46.0,2009-01-22 12:00:00,14.51,58.12,55.8,13.22
74.0,32.0,287.08,43.6,2009-01-22 18:00:00,13.93,57.07,54.5,12.5
74.0,32.0,284.16,51.9,2009-01-23 00:00:00,11.01,51.82,49.1,9.5
74.0,32.0,292.38,39.0,2009-01-23 06:00:00,19.23,66.61,64.8,18.22
74.0,32.0,290.89,47.9,2009-01-23 12:00:00,17.74,63.93,62.3,16.83
74.0,32.0,288.12,55.0,2009-01-23 18:00:00,14.97,58.95,57.1,13.94
74.0,32.0,286.16,54.9,2009-01-24 00:00:00,13.01,55.42,53.2,11.78
74.0,32.0,293.58,38.3,2009-01-24 06:00:00,20.43,68.77,67.1,19.5
74.0,32.0,291.65,49.0,2009-01-24 12:00:00,18.5,65.3,63.8,17.67
74.0,32.0,288.38,54.0,2009-01-24 18:00:00,15.23,59.41,57.6,14.22
74.0,32.0,287.57,59.3,2009-01-25 00:00:00,14.42,57.96,56.2,13.44
74.0,32.0,288.47,71.8,2009-01-25 06:00:00,15.32,59.58,58.6,14.78
74.0,32.0,289.46,63.0,2009-01-25 12:00:00,16.31,61.36,60.2,15.67
74.0,32.0,282.99,84.1,2009-01-25 18:00:00,9.84,49.71,48.3,9.06
74.0,32.0,281.84,89.5,2009-01-26 00:00:00,8.69,47.64,46.3,7.94
74.0,32.0,293.04,44.9,2009-01-26 06:00:00,19.89,67.8,66.4,19.11
74.0,32.0,291.26,49.3,2009-01-26 12:00:00,18.11,64.6,63.1,17.28
74.0,32.0,283.47,86.1,2009-01-26 18:00:00,10.32,50.58,49.4,9.67
74.0,32.0,281.41,87.7,2009-01-27 00:00:00,8.26,46.87,45.4,7.44
74.0,32.0,292.37,51.2,2009-01-27 06:00:00,19.22,66.6,65.4,18.56
74.0,32.0,289.72,66.5,2009-01-27 12:00:00,16.57,61.83,60.8,16.0
74.0,32.0,285.31,67.3,2009-01-27 18:00:00,12.16,53.89,52.1,11.17
74.0,32.0,282.58,83.7,2009-01-28 00:00:00,9.43,48.97,47.5,8.61
74.0,32.0,291.47,45.4,2009-01-28 06:00:00,18.32,64.98,63.3,17.39
