latitude,longitude,valid_time,t2m,rh,t2m_cel,t2m_fah,hi_fah,hi_cel
32.0,74.0,2021-01-01 00:00:00,280.39276,29.6,7.24,45.04,40.6,4.78
32.0,74.0,2021-01-01 06:00:00,289.40494,20.1,16.25,61.26,58.0,14.44
32.0,74.0,2021-01-01 12:00:00,287.43185,22.3,14.28,57.71,54.2,12.33
32.0,74.0,2021-01-01 18:00:00,283.37573,28.6,10.23,50.41,46.5,8.06
32.0,74.0,2021-01-02 00:00:00,280.89688,40.6,7.75,45.94,42.1,5.61
32.0,74.0,2021-01-02 06:00:00,289.79138,25.7,16.64,61.95,59.1,15.06
32.0,74.0,2021-01-02 12:00:00,289.1878,27.1,16.04,60.87,57.9,14.39
32.0,74.0,2021-01-02 18:00:00,288.21765,29.7,15.07,59.12,56.1,13.39
32.0,74.0,2021-01-03 00:00:00,286.386,66.8,13.24,55.82,54.2,12.33
32.0,74.0,2021-01-03 06:00:00,293.56726,44.4,20.42,68.75,67.4,19.67
32.0,74.0,2021-01-03 12:00:00,290.00412,74.7,16.85,62.34,61.8,16.56
32.0,74.0,2021-01-03 18:00:00,286.90558,93.6,13.76,56.76,56.5,13.61
32.0,74.0,2021-01-04 00:00:00,286.55084,94.5,13.4,56.12,55.9,13.28
32.0,74.0,2021-01-04 06:00:00,293.33093,66.1,20.18,68.33,68.0,20.0
32.0,74.0,2021-01-04 12:00:00,292.63712,65.3,19.49,67.08,66.6,19.22
32.0,74.0,2021-01-04 18:00:00,289.02325,84.8,15.87,60.57,60.3,15.72
32.0,74.0,2021-01-05 00:00:00,287.89114,93.0,14.74,58.53,58.5,14.72
32.0,74.0,2021-01-05 06:00:00,290.8848,78.8,17.73,63.92,63.7,17.61
32.0,74.0,2021-01-05 12:00:00,288.79816,86.8,15.65,60.17,60.0,15.56
32.0,74.0,2021-01-05 18:00:00,287.2349,94.4,14.08,57.35,57.2,14.0
32.0,74.0,2021-01-06 00:00:00,285.9224,98.9,12.77,54.99,54.8,12.67
32.0,74.0,2021-01-06 06:00:00,289.45572,79.8,16.31,61.35,60.9,16.06
32.0,74.0,2021-01-06 12:00:00,289.0767,79.9,15.93,60.67,60.2,15.67
32.0,74.0,2021-01-06 18:00:00,285.93103,86.5,12.78,55.01,54.3,12.39
32.0,74.0,2021-01-07 00:00:00,284.20776,82.3,11.06,51.9,50.7,10.39
32.0,74.0,2021-01-07 06:00:00,290.16168,58.8,17.01,62.62,61.3,16.28
32.0,74.0,2021-01-07 12:00:00,289.12762,62.4,15.98,60.76,59.5,15.28
32.0,74.0,2021-01-07 18:00:00,285.69897,70.2,12.55,54.59,53.0,11.67
32.0,74.0,2021-01-08 00:00:00,283.41446,73.0,10.26,50.48,48.7,9.28
32.0,74.0,2021-01-08 06:00:00,290.1589,53.0,17.01,62.62,61.1,16.17
32.0,74.0,2021-01-08 12:00:00,288.85153,55.4,15.7,60.26,58.6,14.78
32.0,74.0,2021-01-08 18:00:00,285.26923,68.1,12.12,53.81,52.1,11.17
32.0,74.0,2021-01-09 00:00:00,283.20392,72.7,10.05,50.1,48.2,9.0
32.0,74.0,2021-01-09 06:00:00,289.96027,50.5,16.81,62.26,60.6,15.89
32.0,74.0,2021-01-09 12:00:00,287.78394,47.0,14.63,58.34,56.1,13.39
32.0,74.0,2021-01-09 18:00:00,284.39685,56.6,11.25,52.24,49.8,9.89
32.0,74.0,2021-01-10 00:00:00,282.04538,72.1,8.9,48.01,45.9,7.72
32.0,74.0,2021-01-10 06:00:00,289.27298,51.7,16.12,61.02,59.3,15.17
32.0,74.0,2021-01-10 12:00:00,287.9213,55.5,14.77,58.59,56.8,13.78
