longitude,latitude,t2m,rh,valid_time,t2m_cel,t2m_fah,hi_fah,hi_cel
71.0,30.0,285.59134,13.3,2018-01-01 00:00:00,12.44,54.39,50.2,10.11
71.0,30.0,294.5125,9.1,2018-01-01 06:00:00,21.36,70.45,67.6,19.78
71.0,30.0,293.73074,10.3,2018-01-01 12:00:00,20.58,69.05,66.1,18.94
71.0,30.0,287.29083,15.6,2018-01-01 18:00:00,14.14,57.45,53.6,12.0
71.0,30.0,284.57935,18.5,2018-01-02 00:00:00,11.43,52.57,48.4,9.11
71.0,30.0,293.78995,11.3,2018-01-02 06:00:00,20.64,69.15,66.3,19.06
71.0,30.0,293.01553,10.2,2018-01-02 12:00:00,19.87,67.76,64.7,18.17
71.0,30.0,286.9658,14.7,2018-01-02 18:00:00,13.82,56.87,52.9,11.61
71.0,30.0,284.5141,18.6,2018-01-03 00:00:00,11.36,52.46,48.3,9.06
71.0,30.0,292.60605,12.2,2018-01-03 06:00:00,19.46,67.02,64.0,17.78
71.0,30.0,291.9999,13.5,2018-01-03 12:00:00,18.85,65.93,62.9,17.17
71.0,30.0,287.13376,16.7,2018-01-03 18:00:00,13.98,57.17,53.4,11.89
71.0,30.0,285.08533,19.9,2018-01-04 00:00:00,11.94,53.48,49.5,9.72
71.0,30.0,292.74948,13.2,2018-01-04 06:00:00,19.6,67.28,64.3,17.94
71.0,30.0,292.3907,13.0,2018-01-04 12:00:00,19.24,66.63,63.6,17.56
71.0,30.0,285.46866,22.9,2018-01-04 18:00:00,12.32,54.17,50.4,10.22
71.0,30.0,283.79892,31.5,2018-01-05 00:00:00,10.65,51.17,47.5,8.61
71.0,30.0,291.88635,18.8,2018-01-05 06:00:00,18.74,65.73,62.9,17.17
71.0,30.0,291.4028,21.1,2018-01-05 12:00:00,18.25,64.86,62.0,16.67
71.0,30.0,285.02368,35.4,2018-01-05 18:00:00,11.87,53.37,50.1,10.06
71.0,30.0,283.23935,34.1,2018-01-06 00:00:00,10.09,50.16,46.5,8.06
71.0,30.0,291.66064,19.6,2018-01-06 06:00:00,18.51,65.32,62.5,16.94
71.0,30.0,290.38684,22.1,2018-01-06 12:00:00,17.24,63.03,60.1,15.61
71.0,30.0,285.79733,29.9,2018-01-06 18:00:00,12.65,54.77,51.4,10.78
71.0,30.0,283.8804,34.9,2018-01-07 00:00:00,10.73,51.31,47.8,8.78
71.0,30.0,292.35068,21.3,2018-01-07 06:00:00,19.2,66.56,63.9,17.72
71.0,30.0,291.6705,19.1,2018-01-07 12:00:00,18.52,65.34,62.5,16.94
