latitude,longitude,valid_time,t2m,rh,t2m_cel,t2m_fah,hi_fah,hi_cel
30.0,71.0,2021-01-01 00:00:00,283.25275,20.0,10.1,50.18,45.8,7.67
30.0,71.0,2021-01-01 06:00:00,292.15494,11.3,19.0,66.21,63.1,17.28
30.0,71.0,2021-01-01 12:00:00,291.33185,10.8,18.18,64.73,61.4,16.33
30.0,71.0,2021-01-01 18:00:00,285.25574,18.0,12.11,53.79,49.7,9.83
30.0,71.0,2021-01-02 00:00:00,283.40686,21.4,10.26,50.46,46.2,7.89
30.0,71.0,2021-01-02 06:00:00,291.4614,11.7,18.31,64.96,61.7,16.5
30.0,71.0,2021-01-02 12:00:00,290.88782,17.2,17.74,63.93,60.8,16.0
30.0,71.0,2021-01-02 18:00:00,285.72763,26.0,12.58,54.64,51.0,10.56
30.0,71.0,2021-01-03 00:00:00,283.94598,23.8,10.8,51.43,47.4,8.56
30.0,71.0,2021-01-03 06:00:00,292.21725,33.0,19.07,66.32,64.2,17.89
30.0,71.0,2021-01-03 12:00:00,292.3041,38.8,19.15,66.48,64.7,18.17
30.0,71.0,2021-01-03 18:00:00,287.25558,42.8,14.11,57.39,54.8,12.67
30.0,71.0,2021-01-04 00:00:00,285.12085,43.2,11.97,53.55,50.6,10.33
30.0,71.0,2021-01-04 06:00:00,292.47092,56.5,19.32,66.78,65.8,18.78
30.0,71.0,2021-01-04 12:00:00,292.9171,47.9,19.77,67.58,66.3,19.06
30.0,71.0,2021-01-04 18:00:00,287.75327,53.3,14.6,58.29,56.3,13.5
30.0,71.0,2021-01-05 00:00:00,286.24115,48.3,13.09,55.56,53.1,11.72
30.0,71.0,2021-01-05 06:00:00,294.15482,33.4,21.0,69.81,68.1,20.06
30.0,71.0,2021-01-05 12:00:00,292.99817,38.9,19.85,67.73,66.0,18.89
30.0,71.0,2021-01-05 18:00:00,285.9649,83.0,12.81,55.07,54.2,12.33
30.0,71.0,2021-01-06 00:00:00,284.80237,87.2,11.65,52.97,52.1,11.17
30.0,71.0,2021-01-06 06:00:00,292.02573,45.4,18.88,65.98,64.4,18.0
30.0,71.0,2021-01-06 12:00:00,291.9067,39.1,18.76,65.76,63.9,17.72
30.0,71.0,2021-01-06 18:00:00,285.82104,66.5,12.67,54.81,53.1,11.72
30.0,71.0,2021-01-07 00:00:00,284.35776,76.1,11.21,52.17,50.7,10.39
30.0,71.0,2021-01-07 06:00:00,292.2917,41.6,19.14,66.46,64.8,18.22
30.0,71.0,2021-01-07 12:00:00,292.09763,31.0,18.95,66.11,63.9,17.72
30.0,71.0,2021-01-07 18:00:00,286.16898,49.4,13.02,55.43,53.0,11.67
30.0,71.0,2021-01-08 00:00:00,283.69446,57.1,10.54,50.98,48.5,9.17
30.0,71.0,2021-01-08 06:00:00,292.0689,36.6,18.92,66.05,64.1,17.83
30.0,71.0,2021-01-08 12:00:00,292.16153,31.2,19.01,66.22,64.0,17.78
30.0,71.0,2021-01-08 18:00:00,286.55923,41.0,13.41,56.14,53.4,11.89
30.0,71.0,2021-01-09 00:00:00,284.78394,43.1,11.63,52.94,50.0,10.0
30.0,71.0,2021-01-09 06:00:00,293.12024,23.3,19.97,67.95,65.5,18.61
30.0,71.0,2021-01-09 12:00:00,292.61392,19.0,19.46,67.04,64.3,17.94
30.0,71.0,2021-01-09 18:00:00,285.97684,34.1,12.83,55.09,51.9,11.06
30.0,71.0,2021-01-10 00:00:00,283.1454,38.4,10.0,49.99,46.5,8.06
