time,longitude,latitude,t2m,rh,t2m_cel,t2m_fah,hi_fah,hi_cel,Fill
2004-04-01,71.0,30.0,303.9,20.25,30.75,87.35,84.975,29.43,False
2004-04-02,71.0,30.0,301.725,25.75,28.575,83.435,81.175,27.3225,False
2004-04-03,71.0,30.0,301.6,29.0,28.450000000000003,83.21000000000001,81.10000000000001,27.275,False
2004-04-04,71.0,30.0,302.85,29.0,29.700000000000003,85.46,83.375,28.5425,False
2004-04-05,71.0,30.0,304.75,19.75,31.599999999999998,88.88,85.94999999999999,29.9725,False
2004-04-06,71.0,30.0,304.825,17.75,31.674999999999997,89.015,86.10000000000001,30.055,False
2004-04-07,71.0,30.0,304.4,22.0,31.25,88.25,85.575,29.765,False
2004-04-08,71.0,30.0,304.15,24.0,31.0,87.8,85.225,29.57,False
2004-04-09,71.0,30.0,303.6,18.75,30.45,86.81,83.825,28.79,False
2004-04-10,71.0,30.0,301.45,18.5,28.3,82.94,79.97500000000001,26.6525,False
2004-04-11,71.0,30.0,302.6,17.25,29.45,85.01,82.075,27.82,False
2004-04-12,71.0,30.0,304.5,18.0,31.35,88.42999999999999,85.675,29.82,False
2004-04-13,71.0,30.0,305.125,17.25,31.975,89.55499999999999,86.475,30.2625,False
2004-04-14,71.0,30.0,304.8,15.0,31.65,88.97,85.6,29.7775,False
2004-04-15,71.0,30.0,306.125,16.25,32.975,91.35499999999999,87.925,31.0675,False
2004-04-16,71.0,30.0,308.4,16.5,35.25,95.45,92.075,33.375,False
2004-04-17,71.0,30.0,305.725,18.75,32.574999999999996,90.63499999999999,87.375,30.765,False
2004-04-18,71.0,30.0,303.35,18.5,30.2,86.36,83.25,28.4725,False
2004-04-19,71.0,30.0,305.35,18.25,32.2,89.96000000000001,87.375,30.7625,False
2004-04-20,71.0,30.0,304.95000000000005,20.75,31.8,89.24,86.375,30.2075,False
2004-04-21,71.0,30.0,304.57500000000005,27.75,31.424999999999997,88.565,86.525,30.29,False
2004-04-22,71.0,30.0,301.425,41.0,28.275,82.89500000000001,81.975,27.765,False
2004-04-23,71.0,30.0,301.85,37.25,28.7,83.66,82.2,27.89,False
2004-04-24,71.0,30.0,303.45,30.25,30.299999999999997,86.53999999999999,84.3,29.055,False
2004-04-25,71.0,30.0,303.5,28.5,30.349999999999998,86.63,84.525,29.18,False
2004-04-26,71.0,30.0,305.85,26.0,32.699999999999996,90.85999999999999,89.125,31.735,False
2004-04-27,71.0,30.0,306.67499999999995,19.0,33.525,92.345,89.17500000000001,31.7625,False
2004-04-28,71.0,30.0,305.4,23.5,32.25,90.05000000000001,87.52499999999999,30.8475,False
2004-04-29,71.0,30.0,305.15,17.5,32.0,89.6,86.475,30.2625,False
2004-04-30,71.0,30.0,297.65,43.0,24.5,76.1,74.95,23.8625,False
2004-05-01,71.0,30.0,298.375,34.25,25.225,77.405,75.19999999999999,24.0,False
2004-05-02,71.0,30.0,300.025,34.0,26.875,80.375,78.225,25.68,False
2004-05-03,71.0,30.0,302.975,26.5,29.825000000000003,85.685,83.125,28.405,False
2004-05-04,71.0,30.0,304.675,22.0,31.525,88.745,85.95,29.97,False
2004-05-05,71.0,30.0,305.65000000000003,24.25,32.5,90.5,88.05,31.1375,False
2004-05-06,71.0,30.0,307.85,23.5,34.7,94.46,92.95,33.8625,False
2004-05-07,71.0,30.0,309.3,16.25,36.15,97.07000000000001,93.67500000000001,34.265,False
2004-05-08,71.0,30.0,307.6,20.5,34.449999999999996,94.01,90.875,32.707499999999996,False
2004-05-09,71.0,30.0,306.0,24.75,32.85,91.13000000000001,88.75,31.525,False
2004-05-10,71.0,30.0,308.2,21.0,35.05,95.09,92.6,33.667500000000004,False
2004-05-11,71.0,30.0,309.4,19.0,36.25,97.24999999999999,94.9,34.945,False
2004-05-12,71.0,30.0,310.075,23.0,36.925,98.465,96.25000000000001,35.6975,False
2004-05-13,71.0,30.0,310.575,23.0,37.425,99.36500000000001,98.875,37.1525,False
2004-05-14,71.0,30.0,310.90000000000003,19.25,37.75,99.95,97.625,36.46,False
2004-05-15,71.0,30.0,310.65,21.0,37.5,99.5,97.075,36.1525,False
2004-05-16,71.0,30.0,311.225,23.75,38.075,100.535,101.825,38.79,False
2004-05-17,71.0,30.0,309.92499999999995,22.0,36.775,98.195,95.925,35.5125,False
2004-05-18,71.0,30.0,310.525,15.75,37.375,99.275,95.25,35.14,False
2004-05-19,71.0,30.0,311.625,9.25,38.475,101.255,96.10000000000001,35.6125,False
2004-05-20,71.0,30.0,311.55,13.25,38.400000000000006,101.12,96.55,35.8625,False
2004-05-21,71.0,30.0,310.375,12.25,37.225,99.005,94.60000000000001,34.7775,False
2004-05-22,71.0,30.0,310.25,12.5,37.099999999999994,98.78,95.15,35.082499999999996,False
2004-05-23,71.0,30.0,307.54999999999995,10.0,34.4,93.92000000000002,88.67500000000001,31.485,False
2004-05-24,71.0,30.0,308.1083333333333,15.083333333333332,34.958333333333336,94.92500000000001,91.17500000000001,32.875,True
2004-05-25,71.0,30.0,308.6666666666667,20.166666666666664,35.516666666666666,95.93,93.675,34.265,True
2004-05-26,71.0,30.0,309.225,25.25,36.075,96.935,96.175,35.655,False
2004-05-27,71.0,30.0,307.275,30.75,34.125,93.425,92.55,33.6375,False
2004-05-28,71.0,30.0,306.625,25.0,33.475,92.255,90.00000000000001,32.2225,False
2004-05-29,71.0,30.0,308.8,19.0,35.65,96.17,93.025,33.905,False
2004-05-30,71.0,30.0,308.825,14.0,35.675000000000004,96.215,91.85,33.25,False
2004-05-31,71.0,30.0,310.5,19.0,37.349999999999994,99.23,96.52499999999999,35.85,False
2004-06-01,71.0,30.0,310.625,17.5,37.475,99.455,95.75,35.417500000000004,False
2004-06-02,71.0,30.0,308.875,17.0,35.725,96.305,92.5,33.61,False
2004-06-03,71.0,30.0,308.82500000000005,19.25,35.675,96.215,92.89999999999999,33.832499999999996,False
2004-06-04,71.0,30.0,309.4,18.0,36.25,97.25,93.85000000000001,34.36,False
2004-06-05,71.0,30.0,311.275,20.25,38.125,100.625,99.15,37.307500000000005,False
2004-06-06,71.0,30.0,311.3,26.5,38.15,100.66999999999999,101.17499999999998,38.432500000000005,False
2004-06-07,71.0,30.0,308.55,27.0,35.4,95.72,94.775,34.875,False
2004-06-08,71.0,30.0,308.95000000000005,27.25,35.8,96.44,95.5,35.2775,False
2004-06-09,71.0,30.0,307.27500000000003,32.75,34.125,93.425,93.175,33.985,False
2004-06-10,71.0,30.0,308.675,29.25,35.525000000000006,95.945,95.55000000000001,35.305,False
2004-06-11,71.0,30.0,310.575,25.5,37.425,99.365,98.65,37.0275,False
2004-06-12,71.0,30.0,310.75,24.5,37.6,99.68,98.67500000000001,37.042500000000004,False
