longitude,latitude,t2m,rh,valid_time,t2m_cel,t2m_fah,hi_fah,hi_cel
68.0,26.0,280.73,30.3,2011-01-01 00:00:00,7.58,45.64,41.3,5.17
68.0,26.0,293.6,12.8,2011-01-01 06:00:00,20.45,68.81,66.0,18.89
68.0,26.0,291.69,15.5,2011-01-01 12:00:00,18.54,65.37,62.3,16.83
68.0,26.0,281.54,39.0,2011-01-01 18:00:00,8.39,47.1,43.3,6.28
68.0,26.0,279.83,41.2,2011-01-02 00:00:00,6.68,44.02,40.1,4.5
68.0,26.0,293.28,15.0,2011-01-02 06:00:00,20.13,68.23,65.5,18.61
68.0,26.0,291.96,14.8,2011-01-02 12:00:00,18.81,65.86,62.8,17.11
68.0,26.0,281.34,39.9,2011-01-02 18:00:00,8.19,46.74,43.0,6.11
68.0,26.0,279.97,43.1,2011-01-03 00:00:00,6.82,44.28,40.4,4.67
68.0,26.0,292.35,19.1,2011-01-03 06:00:00,19.2,66.56,63.8,17.67
68.0,26.0,291.89,19.1,2011-01-03 12:00:00,18.74,65.73,62.9,17.17
68.0,26.0,284.81,31.3,2011-01-03 18:00:00,11.66,52.99,49.5,9.72
68.0,26.0,281.92,44.1,2011-01-04 00:00:00,8.77,47.79,44.3,6.83
68.0,26.0,291.56,28.2,2011-01-04 06:00:00,18.41,65.14,62.7,17.06
68.0,26.0,291.9,23.5,2011-01-04 12:00:00,18.75,65.75,63.1,17.28
68.0,26.0,282.03,44.3,2011-01-04 18:00:00,8.88,47.98,44.6,7.0
68.0,26.0,281.22,47.5,2011-01-05 00:00:00,8.07,46.53,43.1,6.17
68.0,26.0,291.8,22.9,2011-01-05 06:00:00,18.65,65.57,62.9,17.17
68.0,26.0,291.7,20.3,2011-01-05 12:00:00,18.55,65.39,62.6,17.0
68.0,26.0,283.25,36.0,2011-01-05 18:00:00,10.1,50.18,46.6,8.11
68.0,26.0,280.01,43.6,2011-01-06 00:00:00,6.86,44.35,40.5,4.72
68.0,26.0,292.07,20.1,2011-01-06 06:00:00,18.92,66.06,63.3,17.39
68.0,26.0,292.3,17.0,2011-01-06 12:00:00,19.15,66.47,63.6,17.56
68.0,26.0,283.51,28.0,2011-01-06 18:00:00,10.36,50.65,46.7,8.17
68.0,26.0,280.44,31.4,2011-01-07 00:00:00,7.29,45.12,40.8,4.89
68.0,26.0,292.9,13.4,2011-01-07 06:00:00,19.75,67.55,64.6,18.11
68.0,26.0,291.11,17.7,2011-01-07 12:00:00,17.96,64.33,61.3,16.28
68.0,26.0,283.32,22.0,2011-01-07 18:00:00,10.17,50.31,46.1,7.83
68.0,26.0,281.11,35.4,2011-01-08 00:00:00,7.96,46.33,42.3,5.72
68.0,26.0,293.9,16.3,2011-01-08 06:00:00,20.75,69.35,66.8,19.33
68.0,26.0,292.48,14.9,2011-01-08 12:00:00,19.33,66.79,63.9,17.72
68.0,26.0,283.65,24.5,2011-01-08 18:00:00,10.5,50.9,46.8,8.22
68.0,26.0,281.68,30.7,2011-01-09 00:00:00,8.53,47.35,43.2,6.22
68.0,26.0,292.78,14.0,2011-01-09 06:00:00,19.63,67.33,64.4,18.0
68.0,26.0,292.95,12.5,2011-01-09 12:00:00,19.8,67.64,64.7,18.17
68.0,26.0,282.55,24.3,2011-01-09 18:00:00,9.4,48.92,44.7,7.06
68.0,26.0,279.75,38.2,2011-01-10 00:00:00,6.6,43.88,39.8,4.33
68.0,26.0,293.59,13.3,2011-01-10 06:00:00,20.44,68.79,66.0,18.89
68.0,26.0,293.83,12.8,2011-01-10 12:00:00,20.68,69.22,66.4,19.11
68.0,26.0,283.89,23.6,2011-01-10 18:00:00,10.74,51.33,47.3,8.5
68.0,26.0,282.0,35.6,2011-01-11 00:00:00,8.85,47.93,44.1,6.72
