latitude,longitude,valid_time,t2m,rh,t2m_cel,t2m_fah,hi_fah,hi_cel
26.0,68.0,2022-01-01 00:00:00,287.6133,22.0,14.46,58.03,54.6,12.56
26.0,68.0,2022-01-01 06:00:00,293.14288,16.8,19.99,67.99,65.3,18.5
26.0,68.0,2022-01-01 12:00:00,296.1008,17.2,22.95,73.31,71.1,21.72
26.0,68.0,2022-01-01 18:00:00,292.1187,23.4,18.97,66.14,63.6,17.56
26.0,68.0,2022-01-02 00:00:00,290.0679,29.1,16.92,62.45,59.8,15.44
26.0,68.0,2022-01-02 06:00:00,293.7164,20.8,20.57,69.02,66.6,19.22
26.0,68.0,2022-01-02 12:00:00,297.01337,19.4,23.86,74.95,73.1,22.83
26.0,68.0,2022-01-02 18:00:00,291.9632,26.7,18.81,65.86,63.4,17.44
26.0,68.0,2022-01-03 00:00:00,289.2276,31.1,16.08,60.94,58.2,14.56
26.0,68.0,2022-01-03 06:00:00,293.89905,22.2,20.75,69.35,67.0,19.44
26.0,68.0,2022-01-03 12:00:00,296.50366,19.3,23.35,74.04,72.1,22.28
26.0,68.0,2022-01-03 18:00:00,292.35968,24.5,19.21,66.58,64.1,17.83
26.0,68.0,2022-01-04 00:00:00,291.60333,26.1,18.45,65.22,62.7,17.06
26.0,68.0,2022-01-04 06:00:00,293.21542,26.2,20.07,68.12,65.9,18.83
26.0,68.0,2022-01-04 12:00:00,291.13602,47.0,17.99,64.37,62.7,17.06
26.0,68.0,2022-01-04 18:00:00,287.43567,86.5,14.29,57.71,57.2,14.0
26.0,68.0,2022-01-05 00:00:00,287.9314,87.3,14.78,58.61,58.3,14.61
26.0,68.0,2022-01-05 06:00:00,291.38043,68.7,18.23,64.81,64.2,17.89
26.0,68.0,2022-01-05 12:00:00,293.8008,55.5,20.65,69.17,68.4,20.22
26.0,68.0,2022-01-05 18:00:00,289.325,77.9,16.18,61.12,60.6,15.89
26.0,68.0,2022-01-06 00:00:00,287.88702,82.7,14.74,58.53,58.0,14.44
26.0,68.0,2022-01-06 06:00:00,289.73395,74.7,16.58,61.85,61.2,16.22
26.0,68.0,2022-01-06 12:00:00,291.6999,59.9,18.55,65.39,64.4,18.0
26.0,68.0,2022-01-06 18:00:00,288.01553,79.3,14.87,58.76,58.1,14.5
26.0,68.0,2022-01-07 00:00:00,285.53522,86.9,12.39,54.29,53.5,11.94
26.0,68.0,2022-01-07 06:00:00,287.2137,70.1,14.06,57.31,56.0,13.33
26.0,68.0,2022-01-07 12:00:00,289.558,57.6,16.41,61.53,60.1,15.61
26.0,68.0,2022-01-07 18:00:00,287.4045,69.2,14.25,57.66,56.4,13.56
26.0,68.0,2022-01-08 00:00:00,285.85312,74.2,12.7,54.87,53.5,11.94
26.0,68.0,2022-01-08 06:00:00,289.5437,56.2,16.39,61.51,60.0,15.56
26.0,68.0,2022-01-08 12:00:00,291.96555,41.1,18.82,65.87,64.1,17.83
26.0,68.0,2022-01-08 18:00:00,288.47073,56.0,15.32,59.58,57.9,14.39
26.0,68.0,2022-01-09 00:00:00,286.59232,65.4,13.44,56.2,54.6,12.56
26.0,68.0,2022-01-09 06:00:00,290.0204,51.4,16.87,62.37,60.7,15.94
26.0,68.0,2022-01-09 12:00:00,292.8582,36.3,19.71,67.47,65.6,18.67
26.0,68.0,2022-01-09 18:00:00,287.81653,51.0,14.67,58.4,56.3,13.5
26.0,68.0,2022-01-10 00:00:00,286.16934,57.7,13.02,55.43,53.4,11.89
26.0,68.0,2022-01-10 06:00:00,290.90643,43.0,17.76,63.96,62.1,16.72
26.0,68.0,2022-01-10 12:00:00,292.84204,32.1,19.69,67.45,65.4,18.56
26.0,68.0,2022-01-10 18:00:00,289.26114,42.5,16.11,61.0,58.8,14.89
26.0,68.0,2022-01-11 00:00:00,287.10013,50.8,13.95,57.11,54.9,12.72
26.0,68.0,2022-01-11 06:00:00,291.03033,41.9,17.88,64.18,62.3,16.83
26.0,68.0,2022-01-11 12:00:00,292.739,36.1,19.59,67.26,65.4,18.56
26.0,68.0,2022-01-11 18:00:00,289.01544,50.7,15.87,60.56,58.7,14.83
26.0,68.0,2022-01-12 00:00:00,287.1158,55.6,13.97,57.14,55.2,12.89
26.0,68.0,2022-01-12 06:00:00,291.31442,39.1,18.16,64.7,62.7,17.06
26.0,68.0,2022-01-12 12:00:00,293.45514,28.4,20.31,68.55,66.4,19.11
26.0,68.0,2022-01-12 18:00:00,289.48126,40.0,16.33,61.4,59.1,15.06
26.0,68.0,2022-01-13 00:00:00,286.9402,48.7,13.79,56.82,54.5,12.5
26.0,68.0,2022-01-13 06:00:00,291.9341,32.0,18.78,65.81,63.6,17.56
26.0,68.0,2022-01-13 12:00:00,294.42337,21.7,21.27,70.29,68.0,20.0
26.0,68.0,2022-01-13 18:00:00,287.97366,34.1,14.82,58.68,55.9,13.28
26.0,68.0,2022-01-14 00:00:00,287.35507,35.3,14.21,57.57,54.7,12.61
26.0,68.0,2022-01-14 06:00:00,291.61343,31.3,18.46,65.23,62.9,17.17
26.0,68.0,2022-01-14 12:00:00,293.9735,28.4,20.82,69.48,67.5,19.72
26.0,68.0,2022-01-14 18:00:00,289.45184,37.5,16.3,61.34,58.9,14.94
26.0,68.0,2022-01-15 00:00:00,287.7266,42.3,14.58,58.24,55.8,13.22
26.0,68.0,2022-01-15 06:00:00,291.409,34.9,18.26,64.87,62.7,17.06
26.0,68.0,2022-01-15 12:00:00,294.31198,29.9,21.16,70.09,68.2,20.11
26.0,68.0,2022-01-15 18:00:00,289.549,40.5,16.4,61.52,59.3,15.17
26.0,68.0,2022-01-16 00:00:00,287.65906,48.6,14.51,58.12,55.9,13.28
26.0,68.0,2022-01-16 06:00:00,291.70255,36.2,18.55,65.39,63.3,17.39
26.0,68.0,2022-01-16 12:00:00,294.39587,27.4,21.25,70.24,68.3,20.17
26.0,68.0,2022-01-16 18:00:00,290.2436,37.5,17.09,62.77,60.5,15.83
