time,longitude,latitude,t2m,rh,t2m_cel,t2m_fah,hi_fah,hi_cel,Fill
2004-04-01,68.0,26.0,303.025,31.5,29.875,85.775,83.42500000000001,28.5675,False
2004-04-02,68.0,26.0,304.55,32.75,31.400000000000002,88.52,86.42500000000001,30.240000000000002,False
2004-04-03,68.0,26.0,305.55,28.25,32.400000000000006,90.32000000000001,87.525,30.8475,False
2004-04-04,68.0,26.0,305.9,19.25,32.75,90.95,87.35,30.75,False
2004-04-05,68.0,26.0,305.35,21.5,32.2,89.96,86.25000000000001,30.14,False
2004-04-06,68.0,26.0,305.40000000000003,27.75,32.25,90.05000000000001,87.65,30.9175,False
2004-04-07,68.0,26.0,306.85,24.0,33.699999999999996,92.66,89.55,31.9725,False
2004-04-08,68.0,26.0,307.02500000000003,19.0,33.875,92.975,89.125,31.7375,False
2004-04-09,68.0,26.0,305.59999999999997,21.0,32.45,90.41000000000001,86.67500000000001,30.375,False
2004-04-10,68.0,26.0,304.575,14.5,31.425000000000004,88.565,84.22500000000001,29.015,False
2004-04-11,68.0,26.0,306.375,15.5,33.225,91.805,87.175,30.6525,False
2004-04-12,68.0,26.0,307.1,14.75,33.95,93.10999999999999,88.35,31.305,False
2004-04-13,68.0,26.0,306.9,14.75,33.75,92.75,88.0,31.11,False
2004-04-14,68.0,26.0,307.85,16.5,34.7,94.46,90.07499999999999,32.265,False
2004-04-15,68.0,26.0,308.75,18.5,35.6,96.08,92.025,33.3475,False
2004-04-16,68.0,26.0,307.32500000000005,16.75,34.175000000000004,93.51499999999999,89.15,31.7475,False
2004-04-17,68.0,26.0,305.825,18.0,32.675,90.815,86.375,30.2075,False
2004-04-18,68.0,26.0,305.075,22.5,31.925,89.465,85.65,29.8075,False
2004-04-19,68.0,26.0,305.84999999999997,29.5,32.7,90.86,87.85,31.0275,False
2004-04-20,68.0,26.0,306.9,19.5,33.75,92.75,88.19999999999999,31.22,False
2004-04-21,68.0,26.0,306.025,17.25,32.875,91.175,87.075,30.5975,False
2004-04-22,68.0,26.0,305.65,25.0,32.5,90.5,87.69999999999999,30.945,False
2004-04-23,68.0,26.0,305.29999999999995,19.5,32.15,89.87,86.24999999999999,30.1375,False
2004-04-24,68.0,26.0,305.95,13.75,32.800000000000004,91.03999999999999,86.375,30.21,False
2004-04-25,68.0,26.0,306.75,22.5,33.6,92.47999999999999,88.625,31.4575,False
2004-04-26,68.0,26.0,307.65,22.5,34.5,94.1,90.625,32.57,False
2004-04-27,68.0,26.0,308.15,26.25,35.0,95.0,91.75,33.195,False
2004-04-28,68.0,26.0,308.225,29.0,35.074999999999996,95.135,92.15,33.415,False
2004-04-29,68.0,26.0,306.22499999999997,22.75,33.075,91.535,87.875,31.04,False
2004-04-30,68.0,26.0,302.95000000000005,16.25,29.8,85.63999999999999,80.8,27.11,False
2004-05-01,68.0,26.0,301.975,5.5,28.825,83.885,78.60000000000001,25.89,False
2004-05-02,68.0,26.0,302.75,12.0,29.6,85.28,80.575,26.985,False
2004-05-03,68.0,26.0,306.70000000000005,21.5,33.55,92.39,88.55000000000001,31.4175,False
2004-05-04,68.0,26.0,308.075,22.75,34.925000000000004,94.86500000000001,91.075,32.82,False
2004-05-05,68.0,26.0,309.475,17.5,36.325,97.38499999999999,92.92500000000001,33.8475,False
2004-05-06,68.0,26.0,309.825,16.0,36.675000000000004,98.015,93.49999999999999,34.165,False
2004-05-07,68.0,26.0,309.25,16.0,36.1,96.98,92.27499999999999,33.4875,False
2004-05-08,68.0,26.0,308.175,21.0,35.025,95.045,91.2,32.8875,False
2004-05-09,68.0,26.0,306.57500000000005,28.5,33.425,92.16499999999999,89.65,32.0275,False
2004-05-10,68.0,26.0,306.625,34.0,33.475,92.255,91.275,32.93,False
2004-05-11,68.0,26.0,305.85,39.5,32.699999999999996,90.86,91.67500000000001,33.1525,False
2004-05-12,68.0,26.0,306.825,36.0,33.675,92.61500000000001,92.17500000000001,33.43,False
2004-05-13,68.0,26.0,306.55,42.5,33.4,92.12,92.74999999999999,33.7525,False
2004-05-14,68.0,26.0,306.825,44.5,33.675,92.615,94.05,34.4725,False
2004-05-15,68.0,26.0,307.45,42.0,34.300000000000004,93.74000000000001,95.2,35.11,False
2004-05-16,68.0,26.0,307.225,34.5,34.075,93.33500000000001,92.45,33.585,False
2004-05-17,68.0,26.0,308.125,25.75,34.975,94.955,91.625,33.125,False
2004-05-18,68.0,26.0,308.1,31.25,34.949999999999996,94.91,93.025,33.9,False
2004-05-19,68.0,26.0,309.325,31.75,36.175000000000004,97.115,95.575,35.32,False
2004-05-20,68.0,26.0,309.8,27.25,36.65,97.97,94.1,34.5,False
2004-05-21,68.0,26.0,308.9,32.0,35.75,96.35,94.3,34.6125,False
2004-05-22,68.0,26.0,309.775,30.0,36.625,97.92500000000001,95.275,35.1525,False
2004-05-23,68.0,26.0,310.15,15.5,37.0,98.60000000000001,92.49999999999999,33.6125,False
2004-05-24,68.0,26.0,308.825,27.833333333333336,35.675,96.215,93.43333333333332,34.130833333333335,True
2004-05-25,68.0,26.0,307.49999999999994,40.16666666666667,34.35,93.83,94.36666666666667,34.649166666666666,True
2004-05-26,68.0,26.0,306.17499999999995,52.5,33.025,91.445,95.30000000000001,35.167500000000004,False
2004-05-27,68.0,26.0,306.92499999999995,46.75,33.775000000000006,92.79499999999999,95.35,35.195,False
2004-05-28,68.0,26.0,306.79999999999995,47.25,33.65,92.57,95.17500000000001,35.0975,False
2004-05-29,68.0,26.0,307.725,39.75,34.575,94.23499999999999,95.325,35.18,False
2004-05-30,68.0,26.0,308.075,38.0,34.925000000000004,94.86500000000001,95.9,35.4975,False
2004-05-31,68.0,26.0,309.275,34.25,36.125,97.025,96.97500000000001,36.0975,False
2004-06-01,68.0,26.0,308.8,33.75,35.65,96.17,95.725,35.405,False
2004-06-02,68.0,26.0,309.125,30.75,35.974999999999994,96.755,95.875,35.4875,False
2004-06-03,68.0,26.0,308.325,36.25,35.175,95.315,96.325,35.7375,False
2004-06-04,68.0,26.0,307.95,38.25,34.800000000000004,94.64,95.92500000000001,35.5125,False
