longitude,latitude,t2m,rh,valid_time,t2m_cel,t2m_fah,hi_fah,hi_cel
68.0,30.0,271.53,33.6,2014-01-01 00:00:00,-1.62,29.08,23.3,-4.83
68.0,30.0,283.05,5.2,2014-01-01 06:00:00,9.9,49.82,44.7,7.06
68.0,30.0,280.2,6.2,2014-01-01 12:00:00,7.05,44.69,39.2,4.0
68.0,30.0,273.87,29.9,2014-01-01 18:00:00,0.72,33.3,27.7,-2.39
68.0,30.0,272.51,28.7,2014-01-02 00:00:00,-0.64,30.85,25.0,-3.89
68.0,30.0,285.4,3.3,2014-01-02 06:00:00,12.25,54.05,49.3,9.61
68.0,30.0,281.56,3.0,2014-01-02 12:00:00,8.41,47.14,41.7,5.39
68.0,30.0,275.98,27.8,2014-01-02 18:00:00,2.83,37.09,31.8,-0.11
68.0,30.0,274.17,29.6,2014-01-03 00:00:00,1.02,33.84,28.3,-2.06
68.0,30.0,287.08,4.2,2014-01-03 06:00:00,13.93,57.07,52.7,11.5
68.0,30.0,285.56,9.5,2014-01-03 12:00:00,12.41,54.34,49.9,9.94
68.0,30.0,281.32,19.5,2014-01-03 18:00:00,8.17,46.71,42.0,5.56
68.0,30.0,279.34,23.5,2014-01-04 00:00:00,6.19,43.14,38.3,3.5
68.0,30.0,287.31,15.4,2014-01-04 06:00:00,14.16,57.49,53.7,12.06
68.0,30.0,286.73,15.6,2014-01-04 12:00:00,13.58,56.44,52.5,11.39
68.0,30.0,281.0,27.8,2014-01-04 18:00:00,7.85,46.13,41.7,5.39
68.0,30.0,278.76,30.5,2014-01-05 00:00:00,5.61,42.1,37.4,3.0
68.0,30.0,286.19,16.1,2014-01-05 06:00:00,13.04,55.47,51.5,10.83
68.0,30.0,285.96,12.1,2014-01-05 12:00:00,12.81,55.06,50.8,10.44
68.0,30.0,279.01,22.0,2014-01-05 18:00:00,5.86,42.55,37.5,3.06
68.0,30.0,277.24,22.8,2014-01-06 00:00:00,4.09,39.36,34.1,1.17
68.0,30.0,285.8,7.9,2014-01-06 06:00:00,12.65,54.77,50.3,10.17
68.0,30.0,285.14,9.2,2014-01-06 12:00:00,11.99,53.58,49.1,9.5
68.0,30.0,277.79,16.1,2014-01-06 18:00:00,4.64,40.35,34.8,1.56
68.0,30.0,277.63,19.9,2014-01-07 00:00:00,4.48,40.06,34.7,1.5
68.0,30.0,285.6,19.0,2014-01-07 06:00:00,12.45,54.41,50.4,10.22
68.0,30.0,284.5,24.4,2014-01-07 12:00:00,11.35,52.43,48.5,9.17
68.0,30.0,278.8,44.9,2014-01-07 18:00:00,5.65,42.17,38.2,3.44
68.0,30.0,279.71,38.9,2014-01-08 00:00:00,6.56,43.81,39.7,4.28
68.0,30.0,283.0,43.5,2014-01-08 06:00:00,9.85,49.73,46.4,8.0
68.0,30.0,284.1,37.5,2014-01-08 12:00:00,10.95,51.71,48.3,9.06
68.0,30.0,280.01,51.3,2014-01-08 18:00:00,6.86,44.35,40.9,4.94
68.0,30.0,277.79,50.8,2014-01-09 00:00:00,4.64,40.35,36.5,2.5
68.0,30.0,283.5,29.2,2014-01-09 06:00:00,10.35,50.63,46.8,8.22
68.0,30.0,284.5,26.8,2014-01-09 12:00:00,11.35,52.43,48.6,9.22
68.0,30.0,278.91,40.4,2014-01-09 18:00:00,5.76,42.37,38.2,3.44
68.0,30.0,277.42,42.5,2014-01-10 00:00:00,4.27,39.69,35.4,1.89
68.0,30.0,282.51,27.6,2014-01-10 06:00:00,9.36,48.85,44.7,7.06
68.0,30.0,284.62,28.3,2014-01-10 12:00:00,11.47,52.65,48.9,9.39
68.0,30.0,279.0,41.5,2014-01-10 18:00:00,5.85,42.53,38.4,3.56
68.0,30.0,277.01,33.2,2014-01-11 00:00:00,3.86,38.95,34.1,1.17
68.0,30.0,284.9,19.5,2014-01-11 06:00:00,11.75,53.15,49.1,9.5
68.0,30.0,285.99,20.7,2014-01-11 12:00:00,12.84,55.11,51.3,10.72
68.0,30.0,280.08,30.6,2014-01-11 18:00:00,6.93,44.47,40.1,4.5
68.0,30.0,277.64,29.8,2014-01-12 00:00:00,4.49,40.08,35.2,1.78
68.0,30.0,286.2,13.8,2014-01-12 06:00:00,13.05,55.49,51.4,10.78
68.0,30.0,287.48,11.0,2014-01-12 12:00:00,14.33,57.79,53.8,12.11
68.0,30.0,281.92,14.4,2014-01-12 18:00:00,8.77,47.79,42.9,6.06
68.0,30.0,278.93,19.5,2014-01-13 00:00:00,5.78,42.4,37.3,2.94
68.0,30.0,287.35,19.0,2014-01-13 06:00:00,14.2,57.56,53.9,12.17
68.0,30.0,288.08,24.7,2014-01-13 12:00:00,14.93,58.87,55.6,13.11
68.0,30.0,280.67,42.0,2014-01-13 18:00:00,7.52,45.54,41.8,5.44
68.0,30.0,278.33,64.7,2014-01-14 00:00:00,5.18,41.32,38.2,3.44
68.0,30.0,286.85,31.7,2014-01-14 06:00:00,13.7,56.66,53.5,11.94
68.0,30.0,287.93,23.4,2014-01-14 12:00:00,14.78,58.6,55.3,12.94
68.0,30.0,281.39,34.3,2014-01-14 18:00:00,8.24,46.83,42.8,6.0
