latitude,longitude,valid_time,t2m,rh,t2m_cel,t2m_fah,hi_fah,hi_cel
30.0,68.0,2021-01-01 00:00:00,279.52277,21.7,6.37,43.47,38.5,3.61
30.0,68.0,2021-01-01 06:00:00,287.76495,11.1,14.61,58.31,54.4,12.44
30.0,68.0,2021-01-01 12:00:00,287.23184,17.1,14.08,57.35,53.6,12.0
30.0,68.0,2021-01-01 18:00:00,282.3257,21.2,9.18,48.52,44.1,6.72
30.0,68.0,2021-01-02 00:00:00,280.00687,20.3,6.86,44.34,39.4,4.11
30.0,68.0,2021-01-02 06:00:00,288.5814,10.4,15.43,59.78,55.9,13.28
30.0,68.0,2021-01-02 12:00:00,287.7278,16.6,14.58,58.24,54.5,12.5
30.0,68.0,2021-01-02 18:00:00,282.25763,21.3,9.11,48.39,43.9,6.61
30.0,68.0,2021-01-03 00:00:00,280.056,18.8,6.91,44.43,39.5,4.17
30.0,68.0,2021-01-03 06:00:00,288.01724,11.3,14.87,58.76,54.9,12.72
30.0,68.0,2021-01-03 12:00:00,288.07413,16.1,14.92,58.86,55.2,12.89
30.0,68.0,2021-01-03 18:00:00,282.6056,26.2,9.46,49.02,44.9,7.17
30.0,68.0,2021-01-04 00:00:00,280.78085,30.5,7.63,45.74,41.4,5.22
30.0,68.0,2021-01-04 06:00:00,288.4609,20.3,15.31,59.56,56.2,13.44
30.0,68.0,2021-01-04 12:00:00,288.96713,22.8,15.82,60.47,57.3,14.06
30.0,68.0,2021-01-04 18:00:00,283.39325,38.5,10.24,50.44,47.0,8.33
30.0,68.0,2021-01-05 00:00:00,281.15115,51.2,8.0,46.4,43.1,6.17
30.0,68.0,2021-01-05 06:00:00,287.5148,32.8,14.36,57.86,54.9,12.72
30.0,68.0,2021-01-05 12:00:00,288.37817,28.3,15.23,59.41,56.4,13.56
30.0,68.0,2021-01-05 18:00:00,283.1749,40.2,10.02,50.04,46.6,8.11
30.0,68.0,2021-01-06 00:00:00,281.0824,39.0,7.93,46.28,42.4,5.78
30.0,68.0,2021-01-06 06:00:00,287.81573,19.8,14.67,58.4,54.9,12.72
30.0,68.0,2021-01-06 12:00:00,288.3667,22.8,15.22,59.39,56.1,13.39
30.0,68.0,2021-01-06 18:00:00,282.71103,33.1,9.56,49.21,45.4,7.44
30.0,68.0,2021-01-07 00:00:00,280.24774,36.1,7.1,44.78,40.7,4.83
30.0,68.0,2021-01-07 06:00:00,286.40167,21.2,13.25,55.85,52.1,11.17
30.0,68.0,2021-01-07 12:00:00,287.18762,14.5,14.04,57.27,53.4,11.89
30.0,68.0,2021-01-07 18:00:00,280.54898,25.7,7.4,45.32,40.8,4.89
30.0,68.0,2021-01-08 00:00:00,278.31448,25.5,5.16,41.3,36.3,2.39
30.0,68.0,2021-01-08 06:00:00,284.85892,12.6,11.71,53.08,48.7,9.28
30.0,68.0,2021-01-08 12:00:00,287.13153,16.4,13.98,57.17,53.4,11.89
30.0,68.0,2021-01-08 18:00:00,281.52924,27.6,8.38,47.08,42.8,6.0
30.0,68.0,2021-01-09 00:00:00,279.12393,25.5,5.97,42.75,37.9,3.28
30.0,68.0,2021-01-09 06:00:00,287.33026,13.3,14.18,57.52,53.6,12.0
30.0,68.0,2021-01-09 12:00:00,288.24393,15.6,15.09,59.17,55.5,13.06
30.0,68.0,2021-01-09 18:00:00,281.94684,22.5,8.8,47.83,43.4,6.33
30.0,68.0,2021-01-10 00:00:00,279.46536,17.6,6.32,43.37,38.2,3.44
30.0,68.0,2021-01-10 06:00:00,288.533,8.2,15.38,59.69,55.7,13.17
30.0,68.0,2021-01-10 12:00:00,288.26132,14.2,15.11,59.2,55.5,13.06
30.0,68.0,2021-01-10 18:00:00,282.18292,19.4,9.03,48.26,43.7,6.5
30.0,68.0,2021-01-11 00:00:00,279.76602,17.5,6.62,43.91,38.8,3.78
30.0,68.0,2021-01-11 06:00:00,289.5215,7.9,16.37,61.47,57.7,14.28
30.0,68.0,2021-01-11 12:00:00,288.75043,13.8,15.6,60.08,56.4,13.56
30.0,68.0,2021-01-11 18:00:00,282.60645,17.9,9.46,49.02,44.5,6.94
30.0,68.0,2021-01-12 00:00:00,280.51544,14.1,7.37,45.26,40.1,4.5
30.0,68.0,2021-01-12 06:00:00,291.0678,6.2,17.92,64.25,60.7,15.94
