time,t2m_cel,trigger
2004-04-01,31.025,0
2004-04-02,30.85,0
2004-04-03,31.85,0
2004-04-04,31.675,0
2004-04-05,31.725,0
2004-04-06,32.7,0
2004-04-07,34.65,0
2004-04-08,33.0,0
2004-04-09,34.025,0
2004-04-10,31.875,0
2004-04-11,32.35,0
2004-04-12,34.37499999999999,0
2004-04-13,34.425,0
2004-04-14,35.175,0
2004-04-15,35.75,0
2004-04-16,36.400000000000006,0
2004-04-17,33.175,0
2004-04-18,31.75,0
2004-04-19,33.125,0
2004-04-20,34.175,0
2004-04-21,33.125,0
2004-04-22,33.65,0
2004-04-23,30.55,0
2004-04-24,31.725,0
2004-04-25,33.05,0
2004-04-26,34.15,0
2004-04-27,35.825,0
2004-04-28,35.6,0
2004-04-29,33.425000000000004,0
2004-04-30,30.125,0
2004-05-01,27.65,0
2004-05-02,28.65,0
2004-05-03,31.775,0
2004-05-04,34.45,0
2004-05-05,34.725,0
2004-05-06,36.525,0
2004-05-07,35.65,0
2004-05-08,36.2,0
2004-05-09,34.875,0
2004-05-10,36.75,0
2004-05-11,36.725,0
2004-05-12,35.474999999999994,0
2004-05-13,37.525000000000006,0
2004-05-14,36.975,0
2004-05-15,37.025000000000006,0
2004-05-16,36.875,0
2004-05-17,36.05,0
2004-05-18,37.8,0
2004-05-19,39.25,0
2004-05-20,40.55,0
2004-05-21,39.75,0
2004-05-22,40.8,0
2004-05-23,40.25,0
2004-05-24,39.34166666666667,0
2004-05-25,38.43333333333333,0
2004-05-26,37.525,0
2004-05-27,37.275,0
2004-05-28,36.15,0
2004-05-29,37.95,0
2004-05-30,36.875,0
2004-05-31,37.975,0
2004-06-01,37.8,0
2004-06-02,38.675,0
2004-06-03,38.75,0
2004-06-04,38.975,0
2004-06-05,39.400000000000006,0
2004-06-06,39.225,0
2004-06-07,36.775,0
2004-06-08,35.85,0
2004-06-09,36.1,0
2004-06-10,37.325,0
2004-06-11,38.5,0
2004-06-12,39.0,0
2004-06-13,40.875,0
2004-06-14,41.05,0
2004-06-15,41.025000000000006,0
2004-06-16,41.05,0
2004-06-17,40.125,0
2004-06-18,39.9,0
2004-06-19,39.375,0
2004-06-20,38.95,0
2004-06-21,39.2,0
2004-06-22,40.175,0
2004-06-23,39.675,0
2004-06-24,37.875,0
2004-06-25,36.95,0
2004-06-26,37.125,0
2004-06-27,36.625,0
2004-06-28,37.45,0
2004-06-29,38.7,0
2004-06-30,39.525,0
2004-07-01,39.1,0
2004-07-02,39.575,0
2004-07-03,39.225,0
2004-07-04,39.85,0
2004-07-05,39.5,0
2004-07-06,40.1,0
2004-07-07,40.1,0
2004-07-08,39.150000000000006,0
2004-07-09,36.6,0
2004-07-10,37.05,0
2004-07-11,37.3,0
2004-07-12,37.1,0
2004-07-13,37.55,0
2004-07-14,37.2,0
2004-07-15,37.7,0
2004-07-16,37.400000000000006,0
2004-07-17,38.125,0
2004-07-18,38.0,0
2004-07-19,36.45,0
2004-07-20,36.475,0
2004-07-21,36.5,0
2004-07-22,36.575,0
2004-07-23,36.825,0
2004-07-24,38.25,0
2004-07-25,38.5,0
2004-07-26,37.75,0
2004-07-27,37.325,0
2004-07-28,36.875,0
2004-07-29,37.2,0
2004-07-30,38.825,0
2004-07-31,36.2,0
2005-04-01,26.525,0
2005-04-02,29.475,0
2005-04-03,29.725,0
2005-04-04,31.025,0
2005-04-05,33.275000000000006,0
2005-04-06,32.4,0
2005-04-07,27.05,0
2005-04-08,23.675,0
2005-04-09,23.075000000000003,0
2005-04-10,24.200000000000003,0
2005-04-11,23.875,0
2005-04-12,26.6,0
2005-04-13,28.575,0
2005-04-14,30.85,0
2005-04-15,28.425,0
2005-04-16,28.75,0
2005-04-17,30.275,0
2005-04-18,30.575000000000003,0
2005-04-19,32.95,0
2005-04-20,33.825,0
2005-04-21,34.45,0
2005-04-22,32.25,0
2005-04-23,32.525,0
2005-04-24,32.3,0
2005-04-25,31.65,0
2005-04-26,30.9,0
2005-04-27,30.55,0
2005-04-28,30.2,0
2005-04-29,31.887500000000003,0
2005-04-30,33.575,0
2005-05-01,32.825,0
2005-05-02,31.325,0
2005-05-03,31.575,0
2005-05-04,31.15,0
2005-05-05,32.85,0
2005-05-06,35.575,0
2005-05-07,36.825,0
2005-05-08,32.775,0
2005-05-09,32.65,0
2005-05-10,30.950000000000003,0
2005-05-11,33.475,0
2005-05-12,36.875,0
2005-05-13,36.375,0
2005-05-14,36.0,0
2005-05-15,37.1,0
2005-05-16,36.525,0
2005-05-17,38.150000000000006,0
2005-05-18,37.05,0
2005-05-19,37.275,0
2005-05-20,37.625,0
2005-05-21,35.474999999999994,0
2005-05-22,33.6,0
2005-05-23,34.925000000000004,0
2005-05-24,34.125,0
2005-05-25,35.475,0
2005-05-26,33.675,0
2005-05-27,34.925,0
2005-05-28,33.975,0
2005-05-29,33.05,0
2005-05-30,34.050000000000004,0
2005-05-31,36.625,0
2005-06-01,38.25,0
2005-06-02,39.15,0
2005-06-03,38.85,0
2005-06-04,39.525,0
2005-06-05,40.275,0
2005-06-06,40.225,0
2005-06-07,39.775000000000006,0
2005-06-08,39.325,0
2005-06-09,39.125,0
2005-06-10,38.2,0
2005-06-11,35.675,0
2005-06-12,35.97500000000001,0
2005-06-13,36.0,0
2005-06-14,36.8,0
2005-06-15,38.925,0
2005-06-16,39.975,0
2005-06-17,39.8,0
2005-06-18,40.125,0
2005-06-19,39.475,0
2005-06-20,40.45,0
2005-06-21,40.575,0
2005-06-22,41.275,0
2005-06-23,42.2,0
2005-06-24,42.8,0
2005-06-25,41.725,0
2005-06-26,42.275,0
2005-06-27,42.45,0
2005-06-28,42.35,0
2005-06-29,40.725,0
2005-06-30,40.8,0
2005-07-01,41.900000000000006,0
2005-07-02,41.5,0
2005-07-03,40.725,0
2005-07-04,40.75,0
2005-07-05,39.725,0
2005-07-06,38.725,0
2005-07-07,39.875,0
2005-07-08,40.375,0
2005-07-09,41.275000000000006,0
2005-07-10,41.85,0
2005-07-11,41.375,0
2005-07-12,39.65,0
2005-07-13,39.45,0
2005-07-14,39.4,0
2005-07-15,39.6,0
2005-07-16,39.25,0
2005-07-17,39.35,0
2005-07-18,39.375,0
2005-07-19,40.55,0
2005-07-20,40.45,0
2005-07-21,38.575,0
2005-07-22,40.825,0
2005-07-23,39.475,0
2005-07-24,39.5,0
2005-07-25,40.65,0
2005-07-26,42.025,0
2005-07-27,42.175,0
2005-07-28,40.125,0
2005-07-29,39.8,0
2005-07-30,40.05,0
2005-07-31,39.75,0
2006-04-01,30.3,0
2006-04-02,28.700000000000003,0
2006-04-03,30.775,0
2006-04-04,32.225,0
2006-04-05,33.05,0
2006-04-06,32.775,0
2006-04-07,32.5,0
2006-04-08,35.375,0
2006-04-09,31.15,0
2006-04-10,28.1,0
2006-04-11,27.625,0
2006-04-12,27.725,0
2006-04-13,29.300000000000004,0
2006-04-14,27.35,0
2006-04-15,28.275,0
2006-04-16,30.925,0
2006-04-17,29.9,0
2006-04-18,31.2,0
2006-04-19,33.0,0
2006-04-20,32.575,0
2006-04-21,33.475,0
2006-04-22,34.325,0
2006-04-23,34.075,0
2006-04-24,34.74999999999999,0
2006-04-25,36.275,0
2006-04-26,36.0,0
2006-04-27,37.125,0
2006-04-28,37.9,0
2006-04-29,37.5,0
2006-04-30,36.925,0
2006-05-01,36.4,0
2006-05-02,36.225,0
2006-05-03,36.8,0
2006-05-04,38.425,0
2006-05-05,39.875,0
2006-05-06,40.35,0
2006-05-07,40.675,0
2006-05-08,40.3,0
2006-05-09,40.65,0
2006-05-10,39.825,0
2006-05-11,40.55,0
2006-05-12,40.475,0
2006-05-13,40.45,0
2006-05-14,39.625,0
2006-05-15,40.0,0
2006-05-16,39.7,0
2006-05-17,39.175,0
2006-05-18,38.725,0
2006-05-19,38.725,0
2006-05-20,39.175,0
2006-05-21,40.4,0
2006-05-22,40.2,0
2006-05-23,40.325,0
2006-05-24,41.175,0
2006-05-25,41.375,0
2006-05-26,42.025000000000006,0
2006-05-27,41.3,0
2006-05-28,41.025,0
2006-05-29,41.0,0
2006-05-30,40.45,0
2006-05-31,40.5,0
