time,t2m_cel,trigger
2004-04-01,26.475,0
2004-04-02,27.125,0
2004-04-03,27.55,0
2004-04-04,28.275,0
2004-04-05,27.5,0
2004-04-06,27.4,0
2004-04-07,29.125000000000004,0
2004-04-08,29.3,0
2004-04-09,28.625,0
2004-04-10,29.0,0
2004-04-11,28.9,0
2004-04-12,30.0,0
2004-04-13,29.675,0
2004-04-14,30.3,0
2004-04-15,30.475,0
2004-04-16,29.35,0
2004-04-17,28.675,0
2004-04-18,28.125,0
2004-04-19,29.425,0
2004-04-20,29.65,0
2004-04-21,29.575000000000003,0
2004-04-22,30.05,0
2004-04-23,30.1,0
2004-04-24,29.675,0
2004-04-25,28.525,0
2004-04-26,28.75,0
2004-04-27,28.55,0
2004-04-28,29.625,0
2004-04-29,30.000000000000004,0
2004-04-30,30.3,0
2004-05-01,29.175,0
2004-05-02,28.7,0
2004-05-03,29.325,0
2004-05-04,30.675,0
2004-05-05,31.3,0
2004-05-06,31.975,0
2004-05-07,32.0,0
2004-05-08,30.625000000000004,0
2004-05-09,30.025,0
2004-05-10,29.975,0
2004-05-11,29.725,0
2004-05-12,29.35,0
2004-05-13,29.450000000000003,0
2004-05-14,29.675,0
2004-05-15,29.975,0
2004-05-16,29.7,0
2004-05-17,30.05,0
2004-05-18,30.05,0
2004-05-19,30.725,0
2004-05-20,32.550000000000004,0
2004-05-21,31.075,0
2004-05-22,31.625,0
2004-05-23,32.675,0
2004-05-24,31.5,0
2004-05-25,30.325,0
2004-05-26,29.15,0
2004-05-27,29.85,0
2004-05-28,30.1,0
2004-05-29,30.175,0
2004-05-30,30.675,0
2004-05-31,31.25,0
2004-06-01,30.725,0
2004-06-02,30.375,0
2004-06-03,30.225,0
2004-06-04,30.25,0
2004-06-05,30.225,0
2004-06-06,29.775,0
2004-06-07,29.7,0
2004-06-08,30.325000000000003,0
2004-06-09,31.225,0
2004-06-10,33.35,0
2004-06-11,33.425,0
2004-06-12,32.75,0
2004-06-13,33.05,0
2004-06-14,33.5,0
2004-06-15,32.1,0
2004-06-16,32.325,0
2004-06-17,31.35,0
2004-06-18,31.45,0
2004-06-19,31.2,0
2004-06-20,31.425,0
2004-06-21,31.525,0
2004-06-22,31.55,0
2004-06-23,31.025,0
2004-06-24,30.775,0
2004-06-25,31.1,0
2004-06-26,30.675,0
2004-06-27,30.450000000000003,0
2004-06-28,30.425,0
2004-06-29,30.475,0
2004-06-30,30.750000000000004,0
2004-07-01,30.075000000000003,0
2004-07-02,30.175,0
2004-07-03,30.1,0
2004-07-04,30.1,0
2004-07-05,30.525,0
2004-07-06,30.65,0
2004-07-07,30.375000000000004,0
2004-07-08,29.825,0
2004-07-09,28.9,0
2004-07-10,29.325,0
2004-07-11,29.3,0
2004-07-12,29.425,0
