time,t2m_cel,trigger
2004-04-01,26.35,0
2004-04-02,29.725,0
2004-04-03,28.475,0
2004-04-04,30.025,0
2004-04-05,29.800000000000004,0
2004-04-06,30.525,0
2004-04-07,31.625,0
2004-04-08,30.75,0
2004-04-09,31.525,0
2004-04-10,29.925,0
2004-04-11,30.025,0
2004-04-12,29.575,0
2004-04-13,30.625000000000004,0
2004-04-14,31.0,0
2004-04-15,31.175,0
2004-04-16,32.724999999999994,0
2004-04-17,31.2,0
2004-04-18,30.975,0
2004-04-19,32.05,0
2004-04-20,31.15,0
2004-04-21,30.475,0
2004-04-22,25.3,0
2004-04-23,27.15,0
2004-04-24,27.15,0
2004-04-25,28.075,0
2004-04-26,30.925,0
2004-04-27,31.775,0
2004-04-28,31.275,0
2004-04-29,28.3,0
2004-04-30,20.15,0
2004-05-01,22.5,0
2004-05-02,23.45,0
2004-05-03,26.6,0
2004-05-04,28.725,0
2004-05-05,29.925,0
2004-05-06,31.775,0
2004-05-07,34.05,0
2004-05-08,34.15,0
2004-05-09,33.325,0
2004-05-10,33.725,0
2004-05-11,34.150000000000006,0
2004-05-12,34.9,0
2004-05-13,35.475,0
2004-05-14,35.6,0
2004-05-15,36.025000000000006,0
2004-05-16,36.125,0
2004-05-17,37.6,0
2004-05-18,36.175,0
2004-05-19,37.225,0
2004-05-20,36.825,0
2004-05-21,36.1,0
2004-05-22,36.975,0
2004-05-23,36.275,0
2004-05-24,35.625,0
2004-05-25,34.975,0
2004-05-26,34.325,0
2004-05-27,31.75,0
2004-05-28,33.15,0
2004-05-29,33.875,0
2004-05-30,35.625,0
2004-05-31,36.55,0
2004-06-01,35.125,0
2004-06-02,35.825,0
2004-06-03,34.925,0
2004-06-04,36.55,0
2004-06-05,38.1,0
2004-06-06,36.375,0
2004-06-07,29.3,0
2004-06-08,32.825,0
2004-06-09,31.85,0
2004-06-10,34.775,0
2004-06-11,34.425,0
2004-06-12,36.400000000000006,0
2004-06-13,37.075,0
2004-06-14,37.1,0
2004-06-15,36.525,0
2004-06-16,38.35,0
2004-06-17,38.85,0
2004-06-18,35.475,0
2004-06-19,37.925,0
2004-06-20,38.95,0
2004-06-21,36.275,0
2004-06-22,35.849999999999994,0
2004-06-23,36.025,0
2004-06-24,33.575,0
2004-06-25,32.925,0
2004-06-26,32.800000000000004,0
2004-06-27,35.25,0
2004-06-28,36.025,0
2004-06-29,37.025,0
2004-06-30,37.85,0
2004-07-01,37.925,0
2004-07-02,38.55,0
2004-07-03,38.175,0
2004-07-04,37.675,0
2004-07-05,38.075,0
2004-07-06,37.825,0
2004-07-07,39.2,0
2004-07-08,38.85,0
2004-07-09,34.95,0
2004-07-10,36.6,0
2004-07-11,36.75,0
2004-07-12,36.15,0
2004-07-13,37.0,0
2004-07-14,35.475,0
2004-07-15,36.2,0
2004-07-16,35.4,0
2004-07-17,35.8,0
2004-07-18,34.85,0
2004-07-19,30.075,0
2004-07-20,33.825,0
2004-07-21,34.575,0
2004-07-22,35.849999999999994,0
2004-07-23,36.35,0
2004-07-24,37.0,0
2004-07-25,36.35,0
2004-07-26,36.975,0
2004-07-27,37.1,0
2004-07-28,36.975,0
2004-07-29,31.6,0
2004-07-30,34.625,0
2004-07-31,33.45,0
2005-04-01,22.75,0
2005-04-02,24.85,0
2005-04-03,25.575,0
2005-04-04,26.45,0
2005-04-05,28.525,0
2005-04-06,30.175,0
2005-04-07,26.625,0
2005-04-08,21.175,0
2005-04-09,21.275,0
2005-04-10,22.85,0
2005-04-11,21.65,0
2005-04-12,23.95,0
2005-04-13,28.025,0
2005-04-14,28.825000000000003,0
2005-04-15,27.725,0
2005-04-16,27.65,0
2005-04-17,27.075000000000003,0
2005-04-18,27.775,0
2005-04-19,29.0,0
2005-04-20,29.95,0
2005-04-21,30.425,0
2005-04-22,28.675,0
2005-04-23,30.325,0
2005-04-24,29.5,0
2005-04-25,27.8,0
2005-04-26,27.425,0
2005-04-27,27.075,0
2005-04-28,27.25,0
2005-04-29,28.4375,0
2005-04-30,29.625,0
2005-05-01,28.325000000000003,0
2005-05-02,29.575000000000003,0
2005-05-03,21.975,0
2005-05-04,26.75,0
2005-05-05,28.175,0
2005-05-06,30.025,0
2005-05-07,31.550000000000004,0
2005-05-08,31.1,0
2005-05-09,29.0,0
2005-05-10,29.700000000000003,0
2005-05-11,30.325,0
2005-05-12,30.8,0
