time,t2m_cel,trigger
2004-04-01,30.75,0
2004-04-02,28.575,0
2004-04-03,28.450000000000003,0
2004-04-04,29.700000000000003,0
2004-04-05,31.6,0
2004-04-06,31.675,0
2004-04-07,31.25,0
2004-04-08,31.0,0
2004-04-09,30.45,0
2004-04-10,28.3,0
2004-04-11,29.45,0
2004-04-12,31.35,0
2004-04-13,31.975,0
2004-04-14,31.65,0
2004-04-15,32.975,0
2004-04-16,35.25,0
2004-04-17,32.575,0
2004-04-18,30.2,0
2004-04-19,32.2,0
2004-04-20,31.8,0
2004-04-21,31.425,0
2004-04-22,28.275,0
2004-04-23,28.7,0
2004-04-24,30.3,0
2004-04-25,30.35,0
2004-04-26,32.7,0
2004-04-27,33.525,0
2004-04-28,32.25,0
2004-04-29,32.0,0
2004-04-30,24.5,0
2004-05-01,25.225,0
2004-05-02,26.875,0
2004-05-03,29.825000000000003,0
2004-05-04,31.525,0
2004-05-05,32.5,0
2004-05-06,34.7,0
2004-05-07,36.15,0
2004-05-08,34.45,0
2004-05-09,32.85,0
2004-05-10,35.05,0
2004-05-11,36.25,0
2004-05-12,36.925,0
2004-05-13,37.425,0
2004-05-14,37.75,0
2004-05-15,37.5,0
2004-05-16,38.075,0
2004-05-17,36.775,0
2004-05-18,37.375,0
2004-05-19,38.475,0
2004-05-20,38.400000000000006,0
2004-05-21,37.225,0
2004-05-22,37.1,0
2004-05-23,34.4,0
2004-05-24,34.958333333333336,0
2004-05-25,35.516666666666666,0
2004-05-26,36.075,0
2004-05-27,34.125,0
2004-05-28,33.475,0
2004-05-29,35.65,0
2004-05-30,35.675000000000004,0
2004-05-31,37.35,0
2004-06-01,37.475,0
2004-06-02,35.725,0
2004-06-03,35.675,0
2004-06-04,36.25,0
2004-06-05,38.125,0
2004-06-06,38.15,0
2004-06-07,35.4,0
2004-06-08,35.8,0
2004-06-09,34.125,0
2004-06-10,35.525000000000006,0
2004-06-11,37.425,0
2004-06-12,37.6,0
2004-06-13,37.5,0
2004-06-14,38.25,0
2004-06-15,37.275000000000006,0
2004-06-16,39.575,0
2004-06-17,39.95,0
2004-06-18,38.85,0
2004-06-19,38.875,0
2004-06-20,38.875,0
2004-06-21,37.425,0
2004-06-22,37.525,0
2004-06-23,37.3,0
2004-06-24,36.375,0
2004-06-25,36.925,0
2004-06-26,36.725,0
2004-06-27,37.125,0
2004-06-28,37.275,0
2004-06-29,38.425,0
2004-06-30,39.35,0
2004-07-01,38.85,0
2004-07-02,39.0,0
2004-07-03,39.1,0
2004-07-04,38.975,0
2004-07-05,39.075,0
2004-07-06,39.3,0
2004-07-07,39.975,0
2004-07-08,39.25,0
2004-07-09,37.175,0
2004-07-10,37.1,0
2004-07-11,37.575,0
2004-07-12,37.225,0
2004-07-13,36.900000000000006,0
2004-07-14,36.325,0
2004-07-15,37.675,0
2004-07-16,37.975,0
2004-07-17,37.875,0
2004-07-18,37.65,0
2004-07-19,36.625,0
2004-07-20,36.425,0
2004-07-21,36.25,0
2004-07-22,36.425,0
2004-07-23,36.9,0
2004-07-24,37.675,0
2004-07-25,38.1,0
2004-07-26,37.7,0
2004-07-27,38.2,0
2004-07-28,38.675,0
2004-07-29,38.625,0
2004-07-30,36.55,0
2004-07-31,34.525000000000006,0
2005-04-01,24.425,0
2005-04-02,26.8,0
2005-04-03,27.625,0
2005-04-04,28.625,0
2005-04-05,30.5,0
2005-04-06,29.45,0
2005-04-07,28.0,0
2005-04-08,22.95,0
2005-04-09,21.375,0
2005-04-10,22.625,0
2005-04-11,23.175,0
2005-04-12,25.675,0
2005-04-13,27.7,0
