time,t2m_cel,trigger
2004-04-01,29.875,0
2004-04-02,31.4,0
2004-04-03,32.400000000000006,0
2004-04-04,32.75,0
2004-04-05,32.2,0
2004-04-06,32.25,0
2004-04-07,33.7,0
2004-04-08,33.875,0
2004-04-09,32.45,0
2004-04-10,31.425000000000004,0
2004-04-11,33.225,0
2004-04-12,33.95,0
2004-04-13,33.75,0
2004-04-14,34.7,0
2004-04-15,35.6,0
2004-04-16,34.175000000000004,0
2004-04-17,32.675,0
2004-04-18,31.925,0
2004-04-19,32.7,0
2004-04-20,33.75,0
2004-04-21,32.875,0
2004-04-22,32.5,0
2004-04-23,32.15,0
2004-04-24,32.800000000000004,0
2004-04-25,33.6,0
2004-04-26,34.5,0
2004-04-27,35.0,0
2004-04-28,35.075,0
2004-04-29,33.075,0
2004-04-30,29.8,0
2004-05-01,28.825,0
2004-05-02,29.6,0
2004-05-03,33.55,0
2004-05-04,34.925000000000004,0
2004-05-05,36.325,0
2004-05-06,36.675,0
2004-05-07,36.1,0
2004-05-08,35.025,0
2004-05-09,33.425,0
2004-05-10,33.475,0
2004-05-11,32.7,0
2004-05-12,33.675,0
2004-05-13,33.4,0
2004-05-14,33.675,0
2004-05-15,34.300000000000004,0
2004-05-16,34.075,0
2004-05-17,34.975,0
2004-05-18,34.95,0
2004-05-19,36.175,0
2004-05-20,36.65,0
2004-05-21,35.75,0
2004-05-22,36.625,0
2004-05-23,37.0,0
2004-05-24,35.675,0
2004-05-25,34.35,0
2004-05-26,33.025,0
2004-05-27,33.775000000000006,0
2004-05-28,33.65,0
2004-05-29,34.575,0
2004-05-30,34.925000000000004,0
2004-05-31,36.125,0
2004-06-01,35.65,0
2004-06-02,35.974999999999994,0
2004-06-03,35.175,0
2004-06-04,34.800000000000004,0
2004-06-05,34.300000000000004,0
2004-06-06,32.85,0
2004-06-07,33.800000000000004,0
2004-06-08,34.125,0
2004-06-09,35.075,0
2004-06-10,37.175,0
2004-06-11,38.1,0
2004-06-12,38.8,0
2004-06-13,38.55,0
2004-06-14,38.475,0
2004-06-15,37.0,0
2004-06-16,38.22500000000001,0
2004-06-17,36.75,0
2004-06-18,34.99999999999999,0
2004-06-19,35.2,0
2004-06-20,35.349999999999994,0
2004-06-21,35.325,0
2004-06-22,34.375,0
2004-06-23,34.025,0
2004-06-24,33.325,0
2004-06-25,34.3,0
2004-06-26,34.175,0
2004-06-27,34.5,0
2004-06-28,34.375,0
2004-06-29,34.85,0
2004-06-30,34.925000000000004,0
2004-07-01,34.225,0
2004-07-02,34.2,0
2004-07-03,34.65,0
2004-07-04,35.15,0
2004-07-05,35.525,0
2004-07-06,34.5,0
2004-07-07,33.475,0
2004-07-08,32.4,0
2004-07-09,31.35,0
2004-07-10,32.4,0
2004-07-11,32.1,0
2004-07-12,32.474999999999994,0
2004-07-13,31.550000000000004,0
2004-07-14,32.575,0
2004-07-15,33.900000000000006,0
2004-07-16,33.975,0
2004-07-17,33.825,0
2004-07-18,33.45,0
2004-07-19,31.8,0
2004-07-20,32.95,0
2004-07-21,32.650000000000006,0
2004-07-22,32.875,0
2004-07-23,33.55,0
2004-07-24,34.525000000000006,0
2004-07-25,33.625,0
