RP,Risk A,Risk B,A+B (r=0),A+B (r=0.2),A+B (r=0.5),A+B (r=1.0)
2,2839696.133,2842684.413,3757864.488,3680810.04,3546549.862,3028762.167
3,3504273.431,3498658.955,4916775.256,4808090.598,4626549.316,4176423.203
4,4115825.925,4106757.632,5926546.488,5804012.827,5578953.247,5043557.125
5,4679561.277,4674614.082,6844709.166,6711976.989,6442922.133,5767635.004
10,7098155.574,7068779.114,10713332.3,10541191.15,10111798.52,8718279.482
20,10923504.08,10883488.66,16686646.61,16473519.72,15827532.17,13036120.64
25,12521869.26,12568870.25,19173417.19,18975378.86,18231492.65,14775982.14
50,19322383.36,19323365.66,29859136.47,29544573.32,28702619.07,22129078.59
100,29967668.6,30014365.49,46065771.82,45687186.84,44648944.38,33131916.55
200,45907596.45,46433447.64,71888683.59,71319243.57,70238941.67,49455992.74
250,53304954.86,52904136.82,83439284.42,83062312.08,81214590.92,56307044.65
400,71635570.78,72475541.75,110257090.7,110084095.1,109008302.8,75158157.02
500,82491632.9,84321371.88,126861600.2,126861600.2,123982951.4,86042385.06
1000,126643823.2,126937866.5,227933999.1,227933999.1,222569604.2,130195502.5
